icao,iata,name,city,state,country,elevation,lat,lon,tz
AGGP,PRS,Parasi Airport,Parasi,,SB,0,-9.641670227,161.4250031,Pacific/Guadalcanal
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,Rennell-and-Bellona,SB,0,-11.53390026,160.0630035,Pacific/Guadalcanal
AGGS,EGM,Sege Airport,Sege,,SB,0,-8.578889847,157.8760071,Pacific/Guadalcanal
AGGT,NNB,Santa Ana Airport,Santa Ana Island,,SB,3,-10.847994,162.454108,Pacific/Guadalcanal
AGGU,RUS,Marau Airport,Marau,,SB,0,-9.86166954,160.8249969,Pacific/Guadalcanal
AGGV,VAO,Suavanao Airport,Suavanao,,SB,0,-7.585559845,158.7310028,Pacific/Guadalcanal
AGGY,XYA,Yandina Airport,Yandina,,SB,60,-9.092816,159.21841,Pacific/Guadalcanal
AGKG,KGE,Kagau Island Airport,Kagau Island,,SB,0,-7.333000183,157.5829926,Pacific/Guadalcanal
AGKW,KWS,Kwailabesi Airport,Kwailabesi,,SB,26,-8.360508,160.775127,Pacific/Guadalcanal
AGOK,GTA,Gatokae Airport,Gatokae,,SB,70,-8.739167,158.203056,Pacific/Guadalcanal
AGRC,RIN,Ringi Cove Airport,Ringi Cove,,SB,0,-8.126390457,157.1430054,Pacific/Guadalcanal
AGRM,RBV,Ramata Airport,Ramata,,SB,0,-8.168060303,157.6430054,Pacific/Guadalcanal
AK13,CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US,1195,65.05180359,-146.0469971,America/Anchorage
AK33,HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US,20,55.80139923,-160.8990021,America/Anchorage
AK49,TWE,Taylor Airport,Taylor,Alaska,US,440,65.6792984,-164.798996,America/Nome
AK75,CDL,Candle 2 Airport,Candle,Alaska,US,15,65.90769959,-161.9259949,America/Anchorage
AK96,BSZ,Bartletts Airport,Egegik,Alaska,US,50,58.21620178,-157.352005,America/Anchorage
AK97,BSW,Boswell Bay Airport,Boswell Bay,Alaska,US,230,60.42309952,-146.1459961,America/Anchorage
ANYN,INU,Nauru International Airport,Yaren District,Yaren,NR,22,-0.547458,166.919006,Pacific/Nauru
AYAI,ATP,Aitape Airport,Aitape,Sandaun,PG,10,-3.143611111,142.3468056,Pacific/Port_Moresby
AYAM,AMU,Amanab Airport,Amanab,Sandaun,PG,1307,-3.586,141.2143333,Pacific/Port_Moresby
AYAN,ADC,Andakombe Airport,Andekombe,Gulf,PG,3600,-7.137222222,145.7447222,Pacific/Port_Moresby
AYAO,AIE,Aiome Airport,Aiome,Madang,PG,350,-5.145699978,144.7307003,Pacific/Port_Moresby
AYAQ,KPM,Kompiam Airport,,Enga,PG,5100,-5.381666667,143.9247222,Pacific/Port_Moresby
AYAT,AUJ,Ambunti Airport,Ambunti,East-Sepik,PG,50,-4.215666667,142.8231667,Pacific/Port_Moresby
AYAW,AWB,Awaba Airport,Awaba,Western-Province,PG,32,-8.006110191,142.7483521,Pacific/Port_Moresby
AYAY,AYU,Aiyura Airport,Aiyura Valley,Eastern-Highlands,PG,5355,-6.338055556,145.9041667,Pacific/Port_Moresby
AYBA,VMU,Baimuru Airport,Baimuru,Gulf,PG,27,-7.496860027,144.8199005,Pacific/Port_Moresby
AYBG,BDZ,Baindoung Airport,,Morobe,PG,4400,-6.347222222,146.9422222,Pacific/Port_Moresby
AYBK,BUA,Buka Airport,Buka Island,Bougainville,PG,11,-5.422319889,154.6730042,Pacific/Port_Moresby
AYBM,OPU,Balimo Airport,Balimo,Western-Province,PG,51,-8.050000191,142.9329987,Pacific/Port_Moresby
AYBU,BUL,Bulolo Airport,Bulolo,Morobe,PG,2240,-7.216286671,146.6495419,Pacific/Port_Moresby
AYCH,CMU,Chimbu Airport,Kundiawa,Chimbu,PG,4974,-6.024290085,144.970993,Pacific/Port_Moresby
AYDE,DER,Derim Airport,Derim,Morobe,PG,4850,-6.144722222,147.1072222,Pacific/Port_Moresby
AYDU,DAU,Daru Airport,Daru,Western-Province,PG,20,-9.086759567,143.2079926,Pacific/Port_Moresby
AYED,XYR,Edwaki Airport,Yellow River Mission,Sandaun,PG,190,-3.883986,141.792234,Pacific/Port_Moresby
AYFA,FNE,Fane Airport,Fane Mission,Central-Province,PG,4500,-8.549277778,147.0858333,Pacific/Port_Moresby
AYFI,FIN,Finschhafen Airport,Buki,Morobe,PG,60,-6.621750109,147.85405,Pacific/Port_Moresby
AYFR,FAQ,Frieda River Airport,Frieda River,East-Sepik,PG,217,-4.610468,141.960138,Pacific/Port_Moresby
AYGA,GKA,Goroka Airport,Goronka,Eastern-Highlands,PG,5282,-6.081689835,145.3919983,Pacific/Port_Moresby
AYGG,GRL,Garasa Airport,Au,Morobe,PG,2539,-7.980713,147.213461,Pacific/Port_Moresby
AYGI,GAR,Garaina Airport,Garaina,Morobe,PG,2497,-7.875625028,147.1412659,Pacific/Port_Moresby
AYGN,GUR,Gurney Airport,Gurney,Milne-Bay,PG,88,-10.3114996,150.3339996,Pacific/Port_Moresby
AYGP,GAP,Gusap Airport,Gusap,Morobe,PG,1504,-6.053196,145.959047,Pacific/Port_Moresby
AYGR,PNP,Girua Airport,Popondetta,Northern-Province,PG,311,-8.804539681,148.3090057,Pacific/Port_Moresby
AYGT,GMI,Gasmata Island Airport,Gasmata Island,West-New-Britain,PG,23,-6.271110058,150.3309937,Pacific/Port_Moresby
AYGV,GVI,Green River Airport,Green River,Sandaun,PG,281,-3.902242899,141.170517,Pacific/Port_Moresby
AYHK,HKN,Kimbe Airport,Hoskins,West-New-Britain,PG,66,-5.462170124,150.4049988,Pacific/Port_Moresby
AYKA,LSA,Losuia Airport,Losuia,Milne-Bay,PG,27,-8.505820274,151.0809937,Pacific/Port_Moresby
AYKB,KBM,Kabwum,,Morobe,PG,4450,-6.155472222,147.1914722,Pacific/Port_Moresby
AYKC,KDR,Kandrian Airport,Kandrian,West-New-Britain,PG,280,-6.2659,149.5581,Pacific/Port_Moresby
AYKI,UNG,Kiunga Airport,Kiunga,Western-Province,PG,88,-6.125710011,141.2819977,Pacific/Port_Moresby
AYKK,KRI,Kikori Airport,Kikori,Gulf,PG,50,-7.424379826,144.2500763,Pacific/Port_Moresby
AYKM,KMA,Kerema Airport,Kerema,Gulf,PG,10,-7.963610172,145.7709961,Pacific/Port_Moresby
AYKO,KKD,Kokoda Airport,Kokoda,Northern-Province,PG,1240,-8.884678841,147.730957,Pacific/Port_Moresby
AYKT,KZF,Kaintiba Airport,Kaintiba,Gulf,PG,2050,-7.50025,146.0338333,Pacific/Port_Moresby
AYKU,KUQ,Kuri Airport,Kuri,Gulf,PG,35,-7.135083,143.276111,Pacific/Port_Moresby
AYKV,KVG,Kavieng Airport,Kavieng,New-Ireland,PG,7,-2.579400063,150.8079987,Pacific/Port_Moresby
AYKW,KWO,Kawito Airport,Kawito,Western-Province,PG,72,-7.977006912,142.8235779,Pacific/Port_Moresby
AYKY,LNV,Londolovit Airport,Londolovit,New-Ireland,PG,167,-3.043610096,152.6289978,Pacific/Port_Moresby
AYLM,LMY,Lake Murray Airport,Lake Murray,Western-Province,PG,52,-7.00992012,141.4940033,Pacific/Port_Moresby
AYLU,LMI,Lumi Airport,Lumi,Sandaun,PG,1750,-3.476839511,142.0412922,Pacific/Port_Moresby
