model,first_flight,seats,sector,fuel_burn,fuel_efficiency
Airbus A330-200,1997,241,6,000 nmi (11,000 km),6.4,3.32 
Airbus A330neo-800,2017,248,4,650 nmi (8,610 km),5.45,2.75 
Airbus A330neo-900,2017,300,4,650 nmi (8,610 km),5.94,2.48 
Airbus A340-300,1992,262,6,000 nmi (11,000 km),7.32,3.49 
Airbus A350-900,2013,315,4,972 nmi (9,208 km),6.03,2.39 
Airbus A350-900,2013,315,6,542 nmi (12,116 km),7.07,2.81 
Airbus A380,2005,525,7,200 nmi (13,300 km),13.78,3.27 
Airbus A380,2005,544,6,000 nmi (11,000 km),13.78,3.16 
Boeing 747-400,1988,416,6,000 nmi (11,000 km),11.11,3.34 
Boeing 747-8,2011,467,6,000 nmi (11,000 km),10.54,2.82 
Boeing 747-8,2011,405,7,200 nmi (13,300 km),10.9,3.35 
Boeing 777-200ER,1996,301,6,000 nmi (11,000 km),7.42,3.08 
Boeing 777-200ER,1996,301,6,000 nmi (11,000 km),7.44,3.09 
Boeing 777-200LR,2005,291,4,972 nmi (9,208 km),7.57,3.25 
Boeing 777-300ER,2003,365,6,000 nmi (11,000 km),8.49,2.91 
Boeing 777-300ER,2003,344,7,200 nmi (13,300 km),8.58,3.11 
Boeing 777-9X,2020,395,7,200 nmi (13,300 km),9.04,2.85 
Boeing 787-8,2011,243,4,650 nmi (8,610 km),5.38,2.77 
Boeing 787-9,2013,294,4,650 nmi (8,610 km),5.85,2.49 
Boeing 787-9,2013,304,4,972 nmi (9,208 km),5.63,2.31 
Boeing 787-9,2013,291,6,542 nmi (12,116 km),7.18,3.08 
