model,firstflight,seats,sector,fuel_burn,fuel_efficiency
Airbus A319,2015,124,660 nmi (1,220 km),2.82,2.82 
Airbus A320,2015,154,660 nmi (1,220 km),2.79,2.25 
Airbus A321,2015,192,660 nmi (1,220 km),3.30,2.19 
Boeing 737-300,1984,126,507 nmi (939 km),3.49,3.46 
Boeing 737-600,1998,110,500 nmi (930 km),3.16,3.59 39
Boeing 737-700,1997,126,500 nmi (930 km),3.21,3.19 
Boeing 737 MAX 7,2017,128,660 nmi (1,220 km),2.85,2.77 
Boeing 737 MAX 7,2017,144,600 nmi (1,100 km),3.39,2.93 
Boeing 737-800,1997,162,500 nmi (930 km),3.59,2.77 
Boeing 737 MAX 8,2017,166,660 nmi (1,220 km),3.04,2.28 
Boeing 737-900ER,2006,180,500 nmi (930 km),3.83,2.66 
Boeing 737 MAX 9,2017,180,660 nmi (1,220 km),3.30,2.3 
Boeing 757-200,1982,200,500 nmi (930 km),4.68m,2.91 
Boeing 757-300,1998,243,500 nmi (930 km),5.19m,2.66
