web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894636-6356","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-6345","Airbus A321-211","C20Y155","18. Apr 2008","null","9.9 Years"
"1519894626-6130","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-1792","Boeing 737-89P(WL)","","23. Jul 2015","null","2.6 Years"
"1519894634-6297","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-8651","Airbus A321-211(WL)","C12Y170","09. Dec 2016","null","1.2 Years"
"1519894631-6228","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-5973","Airbus A330-243","C30Y204","22. May 2015","null","2.8 Years"
"1519894631-6261","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-8970","Airbus A330-343","C32W32Y230","28. Jun 2017","null","0.8 Years"
"1519894624-6083","https://www.planespotters.net/airline/China-Eastern-Airlines?p=10","B-7301","Boeing 737-89P(WL)","","26. Feb 2016","null","2.1 Years"
"1519894641-6471","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6832","Airbus A320-214","C8Y150","21. Dec 2011","null","6.2 Years"
"1519894629-6173","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-5242","Boeing 737-79P(WL)","C8Y126","23. Aug 2007","null","10.6 Years"
"1519894631-6230","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6082","Airbus A330-243","C24Y242","23. Mar 2007","null","11.0 Years"
"1519894631-6255","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6506","Airbus A330-343","C38Y262","31. Jul 2008","null","9.7 Years"
"1519894631-6250","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6120","Airbus A330-343","C38Y262","25. Jan 2006","null","12.3 Years"
"1519894631-6263","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-8972","Airbus A330-343","C32W32Y230","28. Aug 2017","null","0.6 Years"
"1519894646-6569","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-1609","Airbus A320-214(WL)","C8Y150","10. Dec 2014","null","3.3 Years"
"1519894636-6349","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-2292","Airbus A321-211","C20Y155","08. Sep 2005","null","12.5 Years"
"1519894641-6438","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6601","Airbus A320-232","C8Y150","19. Oct 2009","null","8.5 Years"
"1519894641-6454","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6716","Airbus A320-232","C8Y150","21. Dec 2010","null","7.2 Years"
"1519894639-6392","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8222","Airbus A320-232(WL)","C8Y150","23. Dec 2015","null","2.2 Years"
"1519894626-6143","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5493","Boeing 737-89P(WL)","C8Y159","15. Dec 2009","null","8.2 Years"
"1519894631-6236","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6538","Airbus A330-243","C30Y204","05. Dec 2011","null","6.3 Years"
"1519894641-6445","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6639","Airbus A320-232","C8Y150","08. Apr 2010","null","8.0 Years"
"1519894631-6268","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-2502","Boeing 737-7W0(WL)","C8Y126","30. Jul 2003","null","18.7 Years"
"1519894641-6435","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6586","Airbus A320-232","C8Y150","03. Sep 2009","null","8.6 Years"
