web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894907-7063","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8674","Boeing 767-381","C10Y260","15. Jun 1994","null","23.8 Years"
"1519894901-6991","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA880A","Boeing 787-9 Dreamliner","C48W21Y146","26. Jul 2016","null","1.7 Years"
"1519894911-7158","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA8400","Airbus A320-211","Y166","08. Nov 1995","null","22.5 Years"
"1519894904-7011","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA787A","Boeing 777-381(ER)","F8C68W24Y112","10. Jun 2010","null","7.7 Years"
"1519894901-7004","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA895A","Boeing 787-9 Dreamliner","C40W14Y192","01. Oct 2017","null","0.4 Years"
"1519894911-7171","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA","Airbus A321-272N","C8Y186","(On Order)","null",""
"1519894901-7000","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA891A","Boeing 787-9 Dreamliner","C48W21Y146","17. Apr 2017","null","0.9 Years"
"1519894909-7106","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA72AN","Boeing 737-881(WL)","C8Y158","15. Apr 2013","null","4.9 Years"
"1519894904-7035","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA818A","Boeing 787-8 Dreamliner","C12Y323","14. May 2013","null","5.2 Years"
"1519894904-7006","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA782A","Boeing 777-381(ER)","F8C52W24Y180","24. Jan 2008","null","10.1 Years"
"1519894909-7119","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA85AN","Boeing 737-881(WL)","C8Y158","09. Feb 2016","null","2.1 Years"
"1519894907-7083","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA741A","Boeing 777-281(ER)","C21Y384","19. Apr 2012","null","5.9 Years"
"1519894904-7033","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA816A","Boeing 787-8 Dreamliner","C12Y323","31. Oct 2012","null","5.4 Years"
"1519894909-7123","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA603A","Boeing 767-381(ER)(BCF)","Cargo","08. May 2015
(16. May 2002)","null","15.8 Years"
"1519894911-7176","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA381A","Airbus A380-841","","(On Order)","null",""
"1519894911-7185","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA51AN","Boeing 737-881(WL)","C8Y159","19. May 2008","null","9.8 Years"
"1519894907-7065","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8970","Boeing 767-381(ER)(BCF)","Cargo","18. Feb 1997","null","21.1 Years"
"1519894907-7087","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA745A","Boeing 777-281(ER)","C21Y384","20. Jun 2013","null","4.7 Years"
"1519894909-7144","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA622A","Boeing 767-381(ER)(WL)","C35Y167","22. Feb 2011","null","7.0 Years"
"1519894904-7030","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA813A","Boeing 787-8 Dreamliner","C46W21Y102","30. Aug 2012","null","5.6 Years"
"1519894907-7092","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA735A","Boeing 777-381(ER)","F8C52W24Y166","15. Jun 2006","null","11.7 Years"
"1519894907-7084","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA742A","Boeing 777-281(ER)","C21Y384","23. May 2012","null","5.8 Years"
"1519894907-7093","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA736A","Boeing 777-381(ER)","F8C52W24Y166","27. Sep 2006","null","11.5 Years"
"1519894909-7124","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA604A","Boeing 767-381(ER)","C10Y260","26. Jun 2002","null","15.7 Years"
"1519894909-7134","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA612A","Boeing 767-381(ER)","C35Y179","05. Apr 2004","null","14.1 Years"
"1519894907-7067","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA702A","Boeing 777-281","C21Y384","30. Jun 1997","null","20.7 Years"
"1519894909-7154","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA8358","Boeing 767-381(ER)(BCF)","Cargo","21. Oct 2009
(14. May 1992)","null","25.8 Years"
"1519894904-7016","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA792A","Boeing 777-381(ER)","F8C68W24Y112","18. May 2015","null","2.9 Years"
"1519894909-7107","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA73AN","Boeing 737-881(WL)","C8Y158","13. Aug 2013","null","4.6 Years"
"1519894904-7049","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA835A","Boeing 787-8 Dreamliner","C42Y198","17. Dec 2014","null","3.3 Years"
"1519894911-7159","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA8654","Airbus A320-211","Y166","01. Feb 1995","null","23.3 Years"
