web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892448-1450","https://www.planespotters.net/airline/American-Airlines?p=16","N128AN","Airbus A321-231(WL)","C16W33Y132","19. Nov 2014","860","3.3 Years"
"1519892478-2183","https://www.planespotters.net/airline/American-Airlines?p=1","N8001N","Airbus A319-115(WL)","C8W18Y102","22. Jul 2013","001","4.6 Years"
"1519892448-1434","https://www.planespotters.net/airline/American-Airlines?p=16","N835AW","Airbus A319-132","C8W18Y102","09. Dec 2013","835","12.9 Years"
"1519892470-1985","https://www.planespotters.net/airline/American-Airlines?p=5","N959AN","Boeing 737-823(WL)","C16W48Y90","29. Mar 2001","3CP","17.0 Years"
"1519892456-1648","https://www.planespotters.net/airline/American-Airlines?p=12","N649AW","Airbus A320-232","C12Y138","09. Dec 2013","649","20.0 Years"
"1519892464-1838","https://www.planespotters.net/airline/American-Airlines?p=8","N934NN","Boeing 737-823(WL)","C16W48Y90","12. Aug 2013","3KW","4.6 Years"
"1519892448-1445","https://www.planespotters.net/airline/American-Airlines?p=16","N123NN","Airbus A321-231(WL)","C16W33Y132","18. Sep 2014","855","3.5 Years"
"1519892476-2143","https://www.planespotters.net/airline/American-Airlines?p=2","N161UW","Airbus A321-211","C16Y171","09. Dec 2013","161","17.2 Years"
"1519892478-2195","https://www.planespotters.net/airline/American-Airlines?p=1","N9013A","Airbus A319-115(WL)","C8W18Y102","05. Nov 2013","013","4.4 Years"
"1519892456-1635","https://www.planespotters.net/airline/American-Airlines?p=12","N195AN","Boeing 757-223(WL)","C16W52Y108","14. Nov 2001","5FE","16.4 Years"
"1519892460-1755","https://www.planespotters.net/airline/American-Airlines?p=10","N967TW","McDonnell Douglas MD-83 (DC-9-83)","F16Y124","02. Dec 2001","4YA","18.7 Years"
"1519892446-1412","https://www.planespotters.net/airline/American-Airlines?p=17","N824AN","Boeing 787-9 Dreamliner","C30W21Y234","10. Jan 2017","8LE","1.2 Years"
"1519892458-1703","https://www.planespotters.net/airline/American-Airlines?p=11","N561UW","Airbus A321-231","C16Y171","09. Dec 2013","561","5.5 Years"
"1519892466-1887","https://www.planespotters.net/airline/American-Airlines?p=7","N878NN","Boeing 737-823(WL)","C16W48Y90","03. Nov 2011","3HL","6.4 Years"
"1519892446-1370","https://www.planespotters.net/airline/American-Airlines?p=17","N150NN","Airbus A321-231(WL)","C16W33Y132","13. Nov 2015","882","2.3 Years"
"1519892472-2045","https://www.planespotters.net/airline/American-Airlines?p=4","N917AN","Boeing 737-823(WL)","C16W48Y90","27. Aug 1999","3AS","18.6 Years"
"1519892462-1806","https://www.planespotters.net/airline/American-Airlines?p=9","N314PD","Boeing 737-823(WL)","C16W30Y114","13. Feb 2017","3PD","1.1 Years"
"1519892472-2037","https://www.planespotters.net/airline/American-Airlines?p=4","N908AN","Boeing 737-823(WL)","C16W48Y90","13. May 1999","3AH","18.8 Years"
"1519892464-1869","https://www.planespotters.net/airline/American-Airlines?p=8","N965NN","Boeing 737-823(WL)","","29. Jan 2015","3MG","3.1 Years"
"1519892466-1896","https://www.planespotters.net/airline/American-Airlines?p=7","N887NN","Boeing 737-823(WL)","C16W48Y90","20. Mar 2012","3HW","6.0 Years"
"1519892472-2069","https://www.planespotters.net/airline/American-Airlines?p=4","N941AN","Boeing 737-823(WL)","C16W48Y90","14. Aug 2000","3BU","17.6 Years"
"1519892454-1601","https://www.planespotters.net/airline/American-Airlines?p=13","N747UW","Airbus A319-112","C8W18Y102","09. Dec 2013","747","17.6 Years"
"1519892458-1681","https://www.planespotters.net/airline/American-Airlines?p=11","N539UW","Airbus A321-231","C16Y171","09. Dec 2013","539","8.4 Years"
"1519892460-1763","https://www.planespotters.net/airline/American-Airlines?p=10","N980TW","McDonnell Douglas MD-83 (DC-9-83)","F16Y124","02. Dec 2001","4YP","18.3 Years"
"1519892448-1451","https://www.planespotters.net/airline/American-Airlines?p=16","N129AA","Airbus A321-231(WL)","C16W33Y132","18. Dec 2014","861","3.2 Years"
"1519892468-1950","https://www.planespotters.net/airline/American-Airlines?p=6","N839NN","Boeing 737-823(WL)","C16W48Y90","28. May 2010","3FS","7.8 Years"
"1519892450-1513","https://www.planespotters.net/airline/American-Airlines?p=15","N812AW","Airbus A319-132","C8W18Y102","09. Dec 2013","812","18.0 Years"
"1519892478-2227","https://www.planespotters.net/airline/American-Airlines?p=1","N118US","Airbus A320-214","C12Y138","09. Dec 2013","118","17.7 Years"
"1519892450-1485","https://www.planespotters.net/airline/American-Airlines?p=15","N719AN","Boeing 777-323(ER)","F8C52W30Y220","28. Jan 2013","7LC","5.2 Years"
"1519892440-1327","https://www.planespotters.net/airline/American-Airlines?p=18","N906AA","Airbus A321-231(WL)","C16W33Y132","14. Jul 2017","906","0.7 Years"
"1519892452-1563","https://www.planespotters.net/airline/American-Airlines?p=14","N795AN","Boeing 777-223(ER)","C45W45Y170","16. Dec 2000","7BD","17.2 Years"
"1519892468-1971","https://www.planespotters.net/airline/American-Airlines?p=6","N860NN","Boeing 737-823(WL)","C16W48Y90","17. Nov 2010","3GR","7.3 Years"
"1519892474-2094","https://www.planespotters.net/airline/American-Airlines?p=3","N280AY","Airbus A330-243","C20Y238","09. Dec 2013","280","8.7 Years"
"1519892448-1467","https://www.planespotters.net/airline/American-Airlines?p=16","N145AN","Airbus A321-231(WL)","C16W33Y132","30. Sep 2015","877","2.4 Years"
"1519892456-1634","https://www.planespotters.net/airline/American-Airlines?p=12","N194AA","Boeing 757-223(WL)","C24W52Y108","07. Nov 2001","5FD","16.5 Years"
"1519892452-1536","https://www.planespotters.net/airline/American-Airlines?p=14","N116AN","Airbus A321-231(WL)","F10C20W36Y36","22. May 2014","798","3.8 Years"
"1519892472-2030","https://www.planespotters.net/airline/American-Airlines?p=4","N901AN","Boeing 737-823(WL)","C16W48Y90","07. Feb 1999","3AA","19.1 Years"
"1519892476-2152","https://www.planespotters.net/airline/American-Airlines?p=2","N173US","Airbus A321-211","C16Y171","09. Dec 2013","173","16.9 Years"
"1519892468-1972","https://www.planespotters.net/airline/American-Airlines?p=6","N861NN","Boeing 737-823(WL)","C16W48Y90","19. Nov 2010","3GS","7.3 Years"
"1519892456-1632","https://www.planespotters.net/airline/American-Airlines?p=12","N192AN","Boeing 757-223(WL)","C24W52Y108","28. Aug 2001","5FB","16.6 Years"
"1519892454-1607","https://www.planespotters.net/airline/American-Airlines?p=13","N753US","Airbus A319-112","C8W18Y102","09. Dec 2013","753","17.5 Years"
"1519892448-1453","https://www.planespotters.net/airline/American-Airlines?p=16","N131NN","Airbus A321-231(WL)","C16W33Y132","19. Feb 2015","863","3.1 Years"
"1519892456-1640","https://www.planespotters.net/airline/American-Airlines?p=12","N175AN","Boeing 757-223(WL)","C16W52Y108","17. Dec 2001","5FK","16.3 Years"
"1519892474-2116","https://www.planespotters.net/airline/American-Airlines?p=3","N379AA","Boeing 767-323(ER)(WL)","C28W14Y163","05. Mar 1993","379","25.0 Years"
"1519892464-1868","https://www.planespotters.net/airline/American-Airlines?p=8","N964NN","Boeing 737-823(WL)","","13. Jan 2015","3MF","3.2 Years"
"1519892446-1408","https://www.planespotters.net/airline/American-Airlines?p=17","N820AL","Boeing 787-9 Dreamliner","C30W21Y234","13. Sep 2016","8LA","1.6 Years"
"1519892474-2096","https://www.planespotters.net/airline/American-Airlines?p=3","N282AY","Airbus A330-243","C20Y238","09. Dec 2013","282","8.3 Years"
"1519892478-2214","https://www.planespotters.net/airline/American-Airlines?p=1","N4032T","Airbus A319-115(WL)","C8W18Y102","30. Jun 2015","032","2.7 Years"
"1519892462-1805","https://www.planespotters.net/airline/American-Airlines?p=9","N309PC","Boeing 737-823(WL)","C16W30Y114","30. Jan 2017","3PC","1.1 Years"
"1519892452-1565","https://www.planespotters.net/airline/American-Airlines?p=14","N797AN","Boeing 777-223(ER)","F16C35Y194","26. Jan 2001","7BF","17.1 Years"
"1519892458-1686","https://www.planespotters.net/airline/American-Airlines?p=11","N544UW","Airbus A321-231","C16Y171","09. Dec 2013","544","6.5 Years"
"1519892448-1421","https://www.planespotters.net/airline/American-Airlines?p=16","N822AW","Airbus A319-132","C8W18Y102","09. Dec 2013","822","17.2 Years"
"1519892464-1855","https://www.planespotters.net/airline/American-Airlines?p=8","N951NN","Boeing 737-823(WL)","","28. May 2014","3LR","3.8 Years"
"1519892440-1352","https://www.planespotters.net/airline/American-Airlines?p=18","N932AM","Airbus A321-231(WL)","C16W33Y132","09. Mar 2017","932","1.0 Years"
"1519892446-1373","https://www.planespotters.net/airline/American-Airlines?p=17","N153AN","Airbus A321-231(WL)","C16W33Y132","17. Dec 2015","885","2.2 Years"
"1519892468-1967","https://www.planespotters.net/airline/American-Airlines?p=6","N856NN","Boeing 737-823(WL)","C16W48Y90","15. Oct 2010","3GL","7.4 Years"
"1519892472-2071","https://www.planespotters.net/airline/American-Airlines?p=4","N943AN","Boeing 737-823(WL)","C16W48Y90","25. Aug 2000","3BW","17.6 Years"
"1519892472-2038","https://www.planespotters.net/airline/American-Airlines?p=4","N909AN","Boeing 737-823(WL)","C16W48Y90","19. May 1999","3AJ","18.8 Years"
"1519892456-1658","https://www.planespotters.net/airline/American-Airlines?p=12","N659AW","Airbus A320-232","C12Y138","09. Dec 2013","659","18.1 Years"
"1519892454-1609","https://www.planespotters.net/airline/American-Airlines?p=13","N755US","Airbus A319-112","C8W18Y102","09. Dec 2013","755","17.5 Years"
"1519892460-1752","https://www.planespotters.net/airline/American-Airlines?p=10","N964TW","McDonnell Douglas MD-83 (DC-9-83)","F16Y124","02. Dec 2001","4XW","18.8 Years"
"1519892468-1959","https://www.planespotters.net/airline/American-Airlines?p=6","N848NN","Boeing 737-823(WL)","C16W48Y90","17. Aug 2010","3GC","7.6 Years"
"1519892478-2201","https://www.planespotters.net/airline/American-Airlines?p=1","N9019F","Airbus A319-115(WL)","C8W18Y102","13. Jun 2014","019","3.7 Years"
"1519892460-1772","https://www.planespotters.net/airline/American-Airlines?p=10","N510UW","Airbus A321-231","C16Y171","09. Dec 2013","510","8.9 Years"
"1519892466-1891","https://www.planespotters.net/airline/American-Airlines?p=7","N882NN","Boeing 737-823(WL)","C16W48Y90","30. Jan 2012","3HR","6.2 Years"
"1519892462-1803","https://www.planespotters.net/airline/American-Airlines?p=9","N301PA","Boeing 737-823(WL)","C16W30Y114","21. Dec 2016","3PA","1.2 Years"
"1519892456-1639","https://www.planespotters.net/airline/American-Airlines?p=12","N199AN","Boeing 757-223(WL)","C16W52Y108","14. Dec 2001","5FJ","16.3 Years"
"1519892450-1492","https://www.planespotters.net/airline/American-Airlines?p=15","N726AN","Boeing 777-323(ER)","F8C52W30Y220","18. Dec 2013","7LK","4.3 Years"
"1519892478-2198","https://www.planespotters.net/airline/American-Airlines?p=1","N9016","Airbus A319-115(WL)","C8W18Y102","01. Apr 2014","016","3.9 Years"
"1519892440-1322","https://www.planespotters.net/airline/American-Airlines?p=18","N901AA","Airbus A321-231(WL)","C16W33Y132","20. Apr 2017","901","0.9 Years"
"1519892478-2184","https://www.planespotters.net/airline/American-Airlines?p=1","N9002U","Airbus A319-115(WL)","C8W18Y102","26. Jul 2013","002","4.6 Years"
"1519892470-1997","https://www.planespotters.net/airline/American-Airlines?p=5","N971AN","Boeing 737-823(WL)","C16W48Y90","25. Sep 2001","3DD","16.5 Years"
"1519892462-1817","https://www.planespotters.net/airline/American-Airlines?p=9","N346PR","Boeing 737-823(WL)","C16W30Y114","11. Sep 2017","3PR","0.5 Years"
