web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892968-3360","https://www.planespotters.net/airline/United-Airlines?p=11","N56859","Boeing 757-324(WL)","C24Y189","01. Oct 2010","0859","13.9 Years"
"1519892991-3787","https://www.planespotters.net/airline/United-Airlines?p=2","N890UA","Airbus A319-132","C8Y120","01. Jul 2016","4890","11.7 Years"
"1519892983-3637","https://www.planespotters.net/airline/United-Airlines?p=5","N39728","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0728","18.7 Years"
"1519892976-3482","https://www.planespotters.net/airline/United-Airlines?p=8","N36476","Boeing 737-924(ER)(WL)","C20Y159","25. Jun 2013","0476","4.7 Years"
"1519892973-3452","https://www.planespotters.net/airline/United-Airlines?p=9","N67812","Boeing 737-924(ER)(WL)","C20Y159","24. Jan 2014","0812","4.1 Years"
"1519892978-3552","https://www.planespotters.net/airline/United-Airlines?p=7","N77537","Boeing 737-824(WL)","C16Y150","23. Sep 2016","0537","1.5 Years"
"1519892968-3326","https://www.planespotters.net/airline/United-Airlines?p=11","N18119","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0119","20.8 Years"
"1519892968-3324","https://www.planespotters.net/airline/United-Airlines?p=11","N17139","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0139","18.1 Years"
"1519892983-3658","https://www.planespotters.net/airline/United-Airlines?p=5","N16217","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0217","19.6 Years"
"1519892963-3230","https://www.planespotters.net/airline/United-Airlines?p=13","N213UA","Boeing 777-222","C28Y336","15. Aug 2000","2513","17.6 Years"
"1519892960-3159","https://www.planespotters.net/airline/United-Airlines?p=14","N773UA","Boeing 777-222","C28Y336","31. Jan 1996","2473","23.4 Years"
"1519892991-3803","https://www.planespotters.net/airline/United-Airlines?p=2","N","Airbus A319-132","","Due","","13.8 Years"
"1519892971-3372","https://www.planespotters.net/airline/United-Airlines?p=10","N69810","Boeing 737-924(ER)(WL)","C20Y159","19. Dec 2013","0810","4.2 Years"
"1519892968-3350","https://www.planespotters.net/airline/United-Airlines?p=11","N58101","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0101","23.9 Years"
"1519892978-3543","https://www.planespotters.net/airline/United-Airlines?p=7","N77295","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0295","12.5 Years"
"1519892963-3218","https://www.planespotters.net/airline/United-Airlines?p=13","N76055","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0055","17.1 Years"
"1519892991-3814","https://www.planespotters.net/airline/United-Airlines?p=2","N403UA","Airbus A320-232","C12Y138","20. Dec 1993","4703","24.4 Years"
"1519892963-3220","https://www.planespotters.net/airline/United-Airlines?p=13","N76064","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0064","16.0 Years"
"1519892968-3355","https://www.planespotters.net/airline/United-Airlines?p=11","N595UA","Boeing 757-222(WL)","C28Y114","04. Feb 1998","5995","20.1 Years"
"1519892985-3708","https://www.planespotters.net/airline/United-Airlines?p=4","N14704","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0704","19.9 Years"
"1519892983-3652","https://www.planespotters.net/airline/United-Airlines?p=5","N14235","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0235","18.6 Years"
"1519892983-3663","https://www.planespotters.net/airline/United-Airlines?p=5","N17245","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0245","18.4 Years"
"1519892971-3405","https://www.planespotters.net/airline/United-Airlines?p=10","N78448","Boeing 737-924(ER)(WL)","C20Y159","01. Mar 2012","0448","6.0 Years"
"1519892966-3310","https://www.planespotters.net/airline/United-Airlines?p=12","N676UA","Boeing 767-322(ER)(WL)","C30Y184","23. Apr 2001","6676","16.9 Years"
"1519892976-3505","https://www.planespotters.net/airline/United-Airlines?p=8","N38446","Boeing 737-924(ER)(WL)","C20Y159","20. Jan 2012","0446","6.1 Years"
"1519892981-3603","https://www.planespotters.net/airline/United-Airlines?p=6","N37274","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0274","16.1 Years"
"1519892960-3182","https://www.planespotters.net/airline/United-Airlines?p=14","N787UA","Boeing 777-222(ER)","F8C40Y221","05. Jun 1997","2887","21.4 Years"
"1519892971-3409","https://www.planespotters.net/airline/United-Airlines?p=10","N12114","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0114","22.7 Years"
"1519892976-3495","https://www.planespotters.net/airline/United-Airlines?p=8","N37465","Boeing 737-924(ER)(WL)","C20Y159","10. Jan 2013","0465","5.2 Years"
"1519892978-3533","https://www.planespotters.net/airline/United-Airlines?p=7","N76519","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0519","8.2 Years"
"1519892981-3597","https://www.planespotters.net/airline/United-Airlines?p=6","N37252","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0252","17.5 Years"
"1519892958-3154","https://www.planespotters.net/airline/United-Airlines?p=15","N36962","Boeing 787-9 Dreamliner","C48Y204","30. Nov 2015","0962","2.3 Years"
"1519892960-3171","https://www.planespotters.net/airline/United-Airlines?p=14","N78008","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0008","19.0 Years"
"1519892968-3331","https://www.planespotters.net/airline/United-Airlines?p=11","N21108","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0108","23.4 Years"
"1519892985-3694","https://www.planespotters.net/airline/United-Airlines?p=4","N491UA","Airbus A320-232","C12Y138","06. Jan 2009
(11. Apr 2002)","4291","16.0 Years"
"1519892993-3857","https://www.planespotters.net/airline/United-Airlines?p=1","N823UA","Airbus A319-131","C8Y120","12. Feb 1999","4023","19.1 Years"
"1519892971-3408","https://www.planespotters.net/airline/United-Airlines?p=10","N12109","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0109","23.3 Years"
"1519892991-3820","https://www.planespotters.net/airline/United-Airlines?p=2","N409UA","Airbus A320-232","C12Y138","21. Mar 1994","4709","24.2 Years"
"1519892958-3135","https://www.planespotters.net/airline/United-Airlines?p=15","N17963","Boeing 787-9 Dreamliner","C48Y204","25. Jan 2016","0963","2.1 Years"
"1519892981-3620","https://www.planespotters.net/airline/United-Airlines?p=6","N73278","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0278","14.4 Years"
"1519892978-3545","https://www.planespotters.net/airline/United-Airlines?p=7","N77510","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0510","9.9 Years"
"1519892968-3320","https://www.planespotters.net/airline/United-Airlines?p=11","N17122","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0122","20.6 Years"
"1519892960-3205","https://www.planespotters.net/airline/United-Airlines?p=14","N2639U","Boeing 777-322(ER)","C60Y306","30. May 2017","2139","0.9 Years"
"1519892988-3767","https://www.planespotters.net/airline/United-Airlines?p=3","N461UA","Airbus A320-232","C12Y138","24. Jul 2000","4661","17.7 Years"
"1519892978-3541","https://www.planespotters.net/airline/United-Airlines?p=7","N77258","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0258","17.3 Years"
"1519892976-3488","https://www.planespotters.net/airline/United-Airlines?p=8","N37422","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0422","9.8 Years"
"1519892976-3514","https://www.planespotters.net/airline/United-Airlines?p=8","N39416","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0416","10.0 Years"
"1519892983-3642","https://www.planespotters.net/airline/United-Airlines?p=5","N12221","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0221","19.3 Years"
"1519892991-3809","https://www.planespotters.net/airline/United-Airlines?p=2","N","Airbus A319-132","","Due","","12.4 Years"
"1519892993-3879","https://www.planespotters.net/airline/United-Airlines?p=1","N845UA","Airbus A319-131","C8Y120","15. Nov 2001","4045","16.5 Years"
"1519892985-3682","https://www.planespotters.net/airline/United-Airlines?p=4","N480UA","Airbus A320-232","C12Y138","06. Jan 2009
(12. Sep 2001)","4280","16.6 Years"
"1519892968-3321","https://www.planespotters.net/airline/United-Airlines?p=11","N17126","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0126","20.1 Years"
"1519892966-3283","https://www.planespotters.net/airline/United-Airlines?p=12","N648UA","Boeing 767-322(ER)(WL)","C30Y184","20. Jul 1992","6448","25.7 Years"
"1519892981-3617","https://www.planespotters.net/airline/United-Airlines?p=6","N73270","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0270","16.4 Years"
"1519892981-3592","https://www.planespotters.net/airline/United-Airlines?p=6","N35271","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0271","16.4 Years"
"1519892988-3749","https://www.planespotters.net/airline/United-Airlines?p=3","N442UA","Airbus A320-232","C12Y138","06. Jan 2009
(26. Feb 1998)","4242","20.1 Years"
"1519892960-3161","https://www.planespotters.net/airline/United-Airlines?p=14","N775UA","Boeing 777-222","C28Y336","22. Jan 1996","2475","22.2 Years"
"1519892985-3680","https://www.planespotters.net/airline/United-Airlines?p=4","N478UA","Airbus A320-232","C12Y138","06. Jan 2009
(09. Aug 2001)","4278","16.7 Years"
"1519892981-3607","https://www.planespotters.net/airline/United-Airlines?p=6","N37290","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0290","13.5 Years"
"1519892985-3700","https://www.planespotters.net/airline/United-Airlines?p=4","N497UA","Airbus A320-232","C12Y138","06. Jan 2009
(18. Sep 2002)","4297","15.6 Years"
"1519892960-3167","https://www.planespotters.net/airline/United-Airlines?p=14","N78002","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0002","19.5 Years"
"1519892993-3885","https://www.planespotters.net/airline/United-Airlines?p=1","N851UA","Airbus A319-131","C8Y120","13. Mar 2002","4051","16.0 Years"
"1519892993-3852","https://www.planespotters.net/airline/United-Airlines?p=1","N818UA","Airbus A319-131","C8Y120","01. Oct 1998","4018","19.5 Years"
"1519892963-3252","https://www.planespotters.net/airline/United-Airlines?p=13","N76010","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0010","18.8 Years"
"1519892976-3491","https://www.planespotters.net/airline/United-Airlines?p=8","N37437","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0437","8.7 Years"
"1519892963-3241","https://www.planespotters.net/airline/United-Airlines?p=13","N224UA","Boeing 777-222(ER)","F8C40Y221","07. Dec 2001","2824","16.3 Years"
"1519892988-3778","https://www.planespotters.net/airline/United-Airlines?p=3","N472UA","Airbus A320-232","C12Y138","06. Jan 2009
(03. Apr 2001)","4172","17.0 Years"
