web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893816-4683","https://www.planespotters.net/airline/British-Airways?p=3","G-CIVC","Boeing 747-436","F14C52W36Y235","26. Feb 1994","null","24.0 Years"
"1519893811-4528","https://www.planespotters.net/airline/British-Airways?p=5","G-YMML","Boeing 777-236(ER)","F13C48W32Y127","14. Apr 2001","null","16.9 Years"
"1519893814-4607","https://www.planespotters.net/airline/British-Airways?p=4","G-VIID","Boeing 777-236(ER)","F14C48W40Y122","18. Feb 1997","null","21.1 Years"
"1519893814-4621","https://www.planespotters.net/airline/British-Airways?p=4","G-VIIT","Boeing 777-236(ER)","C40W24Y216","26. May 1999","null","18.8 Years"
"1519893816-4666","https://www.planespotters.net/airline/British-Airways?p=3","G-XLEI","Airbus A380-841","F14C97W55Y303","13. Feb 2015","null","3.4 Years"
"1519893819-4730","https://www.planespotters.net/airline/British-Airways?p=2","G-GATJ","Airbus A320-232","CY171","19. Dec 2014","null","16.7 Years"
"1519893814-4586","https://www.planespotters.net/airline/British-Airways?p=4","G-CIVP","Boeing 747-436","F14C52W36Y235","17. Feb 1998","null","20.1 Years"
"1519893816-4670","https://www.planespotters.net/airline/British-Airways?p=3","G-BNLK","Boeing 747-436","F14C52W36Y235","25. May 1990","null","27.8 Years"
"1519893819-4721","https://www.planespotters.net/airline/British-Airways?p=2","G-EUYR","Airbus A320-232(WL)","CY168","21. Nov 2013","null","4.3 Years"
"1519893816-4679","https://www.planespotters.net/airline/British-Airways?p=3","G-BYGF","Boeing 747-436","F14C86W30Y145","17. Feb 1999","null","19.1 Years"
"1519893819-4700","https://www.planespotters.net/airline/British-Airways?p=2","G-EUUV","Airbus A320-232","CY168","18. Apr 2008","null","9.9 Years"
"1519893816-4646","https://www.planespotters.net/airline/British-Airways?p=3","G-EUXI","Airbus A321-231","CY205","05. Aug 2005","null","12.6 Years"
"1519893811-4562","https://www.planespotters.net/airline/British-Airways?p=5","G-ZBKA","Boeing 787-9 Dreamliner","F8C42W39Y127","28. Sep 2015","null","2.5 Years"
"1519893821-4783","https://www.planespotters.net/airline/British-Airways?p=1","G-EUPT","Airbus A319-131","CY132","05. Dec 2000","null","17.3 Years"
"1519893819-4691","https://www.planespotters.net/airline/British-Airways?p=2","G-EUUL","Airbus A320-232","CY168","20. Dec 2002","null","15.3 Years"
"1519893816-4644","https://www.planespotters.net/airline/British-Airways?p=3","G-EUXG","Airbus A321-231","CY205","02. Dec 2004","null","13.3 Years"
"1519893814-4629","https://www.planespotters.net/airline/British-Airways?p=4","G-YMMC","Boeing 777-236(ER)","C48W24Y203","04. Feb 2000","null","18.1 Years"
"1519893814-4580","https://www.planespotters.net/airline/British-Airways?p=4","G-CIVJ","Boeing 747-436","F14C52W36Y235","11. Feb 1997","null","21.1 Years"
"1519893816-4654","https://www.planespotters.net/airline/British-Airways?p=3","G-MEDL","Airbus A321-231","CY205","03. Oct 2012","null","12.1 Years"
