web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Age,Models
1519894788-6917,https://www.planespotters.net/airline/Air-China?p=2,B-1877,Airbus A321-232(WL),C16Y161,25. Sep 2014,3.5 Years,A320
1519894791-6940,https://www.planespotters.net/airline/Air-China?p=1,B-6034,Airbus A319-115,C8Y120,28. Jul 2004,13.8 Years,A320
1519894783-6806,https://www.planespotters.net/airline/Air-China?p=4,B-5948,Airbus A330-343,C30W16Y255,29. Jul 2014,3.8 Years,A330
1519894783-6800,https://www.planespotters.net/airline/Air-China?p=4,B-5912,Airbus A330-343,C30W16Y255,14. Feb 2014,4.1 Years,A330
1519894776-6643,https://www.planespotters.net/airline/Air-China?p=7,B-5679,Boeing 737-89L(WL),C8Y159,25. Jul 2012,5.6 Years,737
1519894779-6691,https://www.planespotters.net/airline/Air-China?p=6,B-2657,Boeing 737-89L,C8Y159,31. Oct 2002,15.4 Years,737
1519894779-6676,https://www.planespotters.net/airline/Air-China?p=6,B-1947,Boeing 737-89L(WL),C12Y147,20. Jan 2014,4.2 Years,737
1519894774-6597,https://www.planespotters.net/airline/Air-China?p=8,B-2043,Boeing 777-39L(ER),F8C42Y261,04. Sep 2013,4.6 Years,777
1519894786-6856,https://www.planespotters.net/airline/Air-China?p=3,B-6942,Airbus A321-232,C12Y173,21. Dec 2012,5.2 Years,A320
1519894788-6921,https://www.planespotters.net/airline/Air-China?p=2,B-6327,Airbus A321-213,F12Y173,14. Dec 2007,10.3 Years,A320
1519894788-6924,https://www.planespotters.net/airline/Air-China?p=2,B-6363,Airbus A321-213,F12Y173,26. Sep 2008,9.5 Years,A320
1519894776-6624,https://www.planespotters.net/airline/Air-China?p=7,B-5486,Boeing 737-89L(WL),C8Y159,20. Dec 2009,8.2 Years,737
1519894774-6619,https://www.planespotters.net/airline/Air-China?p=8,B-7877,Boeing 787-9 Dreamliner,C30W34Y229,18. May 2016,1.9 Years,787
1519894788-6912,https://www.planespotters.net/airline/Air-China?p=2,B-1639,Airbus A321-213(WL),C16Y161,21. Apr 2015,2.9 Years,A320
1519894779-6696,https://www.planespotters.net/airline/Air-China?p=6,B-5175,Boeing 737-86N,C8Y159,13. Oct 2006,11.4 Years,737
1519894783-6792,https://www.planespotters.net/airline/Air-China?p=4,B-6505,Airbus A330-243,C30Y207,15. Oct 2008,9.5 Years,A330
1519894783-6818,https://www.planespotters.net/airline/Air-China?p=4,B-6523,Airbus A330-343,C30W16Y255,26. Jan 2011,7.2 Years,A330
1519894786-6845,https://www.planespotters.net/airline/Air-China?p=3,B-6741,Airbus A321-232,C12Y173,08. Mar 2011,7.0 Years,A320
1519894791-6963,https://www.planespotters.net/airline/Air-China?p=1,B-1686,Airbus A320-214(WL),C8Y150,20. May 2015,2.9 Years,A320
1519894776-6660,https://www.planespotters.net/airline/Air-China?p=7,B-7595,Boeing 737-89L(WL),C8Y168,13. Jun 2016,1.7 Years,737
1519894781-6753,https://www.planespotters.net/airline/Air-China?p=5,B-5803,Boeing 737-79L(WL),C8Y120,23. Oct 2013,4.4 Years,737
1519894786-6861,https://www.planespotters.net/airline/Air-China?p=3,B-8502,Airbus A321-232(WL),C16Y161,21. Dec 2016,1.2 Years,A320
1519894788-6879,https://www.planespotters.net/airline/Air-China?p=2,B-6773,Airbus A320-232,C8Y150,26. Jul 2011,6.7 Years,A320
1519894783-6783,https://www.planespotters.net/airline/Air-China?p=4,B-6091,Airbus A330-243,C30Y207,22. Oct 2007,10.4 Years,A330
1519894776-6663,https://www.planespotters.net/airline/Air-China?p=7,B-7890,Boeing 737-89L(WL),C8Y168,22. Sep 2016,1.5 Years,737
1519894791-6956,https://www.planespotters.net/airline/Air-China?p=1,B-6235,Airbus A319-131,C8Y120,12. Jul 2007,10.7 Years,A320
1519894779-6698,https://www.planespotters.net/airline/Air-China?p=6,B-5177,Boeing 737-86N,C8Y159,11. Dec 2006,11.3 Years,737
1519894774-6599,https://www.planespotters.net/airline/Air-China?p=8,B-2046,Boeing 777-39L(ER),F8C42Y261,14. Jan 2014,4.2 Years,777
1519894783-6796,https://www.planespotters.net/airline/Air-China?p=4,B-6541,Airbus A330-243,C18Y247,24. Apr 2012,5.9 Years,A330
1519894791-6964,https://www.planespotters.net/airline/Air-China?p=1,B-1687,Airbus A320-214(WL),C8Y150,13. Nov 2015,2.3 Years,A320
1519894781-6734,https://www.planespotters.net/airline/Air-China?p=5,B-1399,Boeing 737-8 MAX,C8Y168,30. Dec 2017,0.2 Years,737
1519894788-6908,https://www.planespotters.net/airline/Air-China?p=2,B-8891,Airbus A320-271N,,17. Nov 2017,0.3 Years,A320
1519894774-6602,https://www.planespotters.net/airline/Air-China?p=8,B-2086,Boeing 777-39L(ER),F8C42Y261,13. Oct 2011,6.4 Years,777
1519894788-6880,https://www.planespotters.net/airline/Air-China?p=2,B-6793,Airbus A320-214,C8Y150,28. Sep 2011,6.5 Years,A320
1519894791-6943,https://www.planespotters.net/airline/Air-China?p=1,B-6037,Airbus A319-115,C8Y120,21. Sep 2004,13.5 Years,A320
1519894783-6789,https://www.planespotters.net/airline/Air-China?p=4,B-6130,Airbus A330-243,C30Y207,23. Jun 2008,9.7 Years,A330
1519894788-6905,https://www.planespotters.net/airline/Air-China?p=2,B-9926,Airbus A320-214,C8Y150,23. Dec 2013,4.2 Years,A320
1519894791-6955,https://www.planespotters.net/airline/Air-China?p=1,B-6228,Airbus A319-115,C8Y120,25. Sep 2006,11.5 Years,A320
1519894791-6976,https://www.planespotters.net/airline/Air-China?p=1,B-6677,Airbus A320-232,C8Y150,30. Jun 2010,7.7 Years,A320
1519894776-6651,https://www.planespotters.net/airline/Air-China?p=7,B-5851,Boeing 737-89L(WL),C12Y147,16. Dec 2013,4.2 Years,737
1519894791-6978,https://www.planespotters.net/airline/Air-China?p=1,B-6733,Airbus A320-232,C8Y150,26. Apr 2011,6.9 Years,A320
1519894791-6966,https://www.planespotters.net/airline/Air-China?p=1,B-1853,Airbus A320-214(WL),C8Y150,19. Sep 2014,3.5 Years,A320
1519894776-6658,https://www.planespotters.net/airline/Air-China?p=7,B-7181,Boeing 737-89L(WL),C8Y168,30. Mar 2016,2.0 Years,737
1519894781-6745,https://www.planespotters.net/airline/Air-China?p=5,B-5213,Boeing 737-79L(WL),C8Y120,16. Aug 2005,12.6 Years,737
1519894781-6768,https://www.planespotters.net/airline/Air-China?p=5,B-1763,Boeing 737-89L(WL),C12Y147,24. Apr 2015,2.9 Years,737
1519894786-6852,https://www.planespotters.net/airline/Air-China?p=3,B-6883,Airbus A321-232,C12Y173,27. Apr 2012,5.9 Years,A320
1519894786-6842,https://www.planespotters.net/airline/Air-China?p=3,B-6701,Airbus A321-213,C12Y173,19. Oct 2010,7.4 Years,A320
1519894774-6622,https://www.planespotters.net/airline/Air-China?p=8,B-7898,Boeing 787-9 Dreamliner,C30W34Y229,14. Sep 2016,1.5 Years,787
1519894783-6821,https://www.planespotters.net/airline/Air-China?p=4,B-8383,Airbus A330-343,C30W16Y255,31. Jul 2017,0.7 Years,A330
1519894791-6959,https://www.planespotters.net/airline/Air-China?p=1,B-6238,Airbus A319-115,C8Y120,13. Sep 2007,10.5 Years,A320
1519894776-6625,https://www.planespotters.net/airline/Air-China?p=7,B-5495,Boeing 737-89L(WL),C8Y159,19. Jan 2010,8.2 Years,737
1519894776-6650,https://www.planespotters.net/airline/Air-China?p=7,B-5849,Boeing 737-89L(WL),C12Y147,16. Oct 2013,4.4 Years,737
1519894774-6589,https://www.planespotters.net/airline/Air-China?p=8,B-2032,Boeing 777-39L(ER),F8C42Y261,30. Jul 2012,5.6 Years,777
1519894779-6677,https://www.planespotters.net/airline/Air-China?p=6,B-1956,Boeing 737-89L(WL),C12Y147,11. Apr 2014,3.9 Years,737
1519894783-6814,https://www.planespotters.net/airline/Air-China?p=4,B-6503,Airbus A330-343,C30W16Y255,10. Aug 2012,5.6 Years,A330
1519894788-6889,https://www.planespotters.net/airline/Air-China?p=2,B-6918,Airbus A320-232,C8Y150,25. Sep 2012,5.5 Years,A320
1519894781-6759,https://www.planespotters.net/airline/Air-China?p=5,B-1527,Boeing 737-89L(WL),C12Y147,03. Aug 2015,2.6 Years,737
1519894788-6916,https://www.planespotters.net/airline/Air-China?p=2,B-1876,Airbus A321-213(WL),C16Y161,27. Oct 2014,3.4 Years,A320
1519894779-6718,https://www.planespotters.net/airline/Air-China?p=6,B-5423,Boeing 737-89L(WL),C8Y159,22. Apr 2009,8.9 Years,737
1519894776-6673,https://www.planespotters.net/airline/Air-China?p=7,B-2480,Boeing 747-89L,F12C54W66Y233,16. Jun 2015,2.8 Years,747
1519894779-6687,https://www.planespotters.net/airline/Air-China?p=6,B-2642,Boeing 737-89L,C8Y159,07. Sep 1999,18.5 Years,737
1519894783-6826,https://www.planespotters.net/airline/Air-China?p=4,B-8689,Airbus A330-343,C30W16Y255,28. Apr 2017,0.9 Years,A330
1519894779-6702,https://www.planespotters.net/airline/Air-China?p=6,B-5312,Boeing 737-8Q8,C8Y159,09. Mar 2007,11.0 Years,737
1519894791-6931,https://www.planespotters.net/airline/Air-China?p=1,B-2404,Airbus A319-131,C8Y120,22. Apr 2005,12.9 Years,A320
1519894781-6757,https://www.planespotters.net/airline/Air-China?p=5,B-1419,Boeing 737-89L(WL),C8Y168,22. Jun 2017,0.7 Years,737
1519894783-6786,https://www.planespotters.net/airline/Air-China?p=4,B-6113,Airbus A330-243,C30Y207,11. Jan 2008,10.3 Years,A330
1519894783-6803,https://www.planespotters.net/airline/Air-China?p=4,B-5919,Airbus A330-343,C30W16Y255,17. May 2013,4.9 Years,A330
1519894788-6897,https://www.planespotters.net/airline/Air-China?p=2,B-8493,Airbus A320-232(WL),C8Y150,21. Oct 2016,1.4 Years,A320
1519894791-6953,https://www.planespotters.net/airline/Air-China?p=1,B-6226,Airbus A319-115,C8Y120,20. Jul 2006,11.6 Years,A320
1519894788-6902,https://www.planespotters.net/airline/Air-China?p=2,B-9922,Airbus A320-232,C8Y150,02. Aug 2013,4.6 Years,A320
1519894774-6585,https://www.planespotters.net/airline/Air-China?p=8,B-1429,Boeing 777-39L(ER),C36Y356,28. Jul 2017,0.6 Years,777
1519894783-6823,https://www.planespotters.net/airline/Air-China?p=4,B-8386,Airbus A330-343,C30W16Y255,22. Sep 2017,0.6 Years,A330
1519894776-6628,https://www.planespotters.net/airline/Air-China?p=7,B-5500,Boeing 737-89L(WL),C8Y159,26. Feb 2010,8.1 Years,737
1519894783-6817,https://www.planespotters.net/airline/Air-China?p=4,B-6513,Airbus A330-343,C30W16Y255,22. Jun 2010,7.8 Years,A330
1519894786-6830,https://www.planespotters.net/airline/Air-China?p=3,B-6593,Airbus A321-213,F12Y173,20. Jul 2009,8.7 Years,A320
1519894781-6739,https://www.planespotters.net/airline/Air-China?p=5,B-5043,Boeing 737-79L,C8Y120,17. Jun 2003,14.8 Years,737
1519894781-6756,https://www.planespotters.net/airline/Air-China?p=5,B-1418,Boeing 737-89L(WL),C8Y168,22. May 2017,0.8 Years,737
1519894781-6770,https://www.planespotters.net/airline/Air-China?p=5,B-1765,Boeing 737-89L(WL),C12Y147,19. Jun 2015,2.7 Years,737
1519894776-6630,https://www.planespotters.net/airline/Air-China?p=7,B-5508,Boeing 737-86N,C8Y159,18. May 2010,7.8 Years,737
1519894783-6799,https://www.planespotters.net/airline/Air-China?p=4,B-5906,Airbus A330-343,C30W16Y255,21. Dec 2012,5.2 Years,A330
1519894791-6961,https://www.planespotters.net/airline/Air-China?p=1,B-6478,Airbus A319-115(WL),C8Y120,28. Jul 2015,2.6 Years,A320
1519894788-6915,https://www.planespotters.net/airline/Air-China?p=2,B-1855,Airbus A321-213,C12Y173,23. Jul 2014,3.6 Years,A320
1519894788-6926,https://www.planespotters.net/airline/Air-China?p=2,B-6382,Airbus A321-213,F12Y173,15. Oct 2008,9.4 Years,A320
1519894788-6891,https://www.planespotters.net/airline/Air-China?p=2,B-6967,Airbus A320-214,C8Y150,25. Mar 2013,5.0 Years,A320
1519894786-6828,https://www.planespotters.net/airline/Air-China?p=3,B-6555,Airbus A321-213,F12Y173,20. Jan 2009,9.1 Years,A320
1519894779-6682,https://www.planespotters.net/airline/Air-China?p=6,B-1976,Boeing 737-89L(WL),C12Y147,20. Oct 2014,3.4 Years,737
1519894788-6918,https://www.planespotters.net/airline/Air-China?p=2,B-1878,Airbus A321-232(WL),C16Y161,15. Oct 2014,3.4 Years,A320
1519894774-6587,https://www.planespotters.net/airline/Air-China?p=8,B-2006,Boeing 777-39L(ER),F8C42Y261,25. Sep 2014,3.5 Years,777
1519894783-6791,https://www.planespotters.net/airline/Air-China?p=4,B-6132,Airbus A330-243,C30Y207,25. Aug 2008,9.7 Years,A330
1519894783-6787,https://www.planespotters.net/airline/Air-China?p=4,B-6115,Airbus A330-243,C30Y207,11. Mar 2008,10.1 Years,A330
1519894779-6712,https://www.planespotters.net/airline/Air-China?p=6,B-5390,Boeing 737-89L(WL),C8Y159,13. May 2008,9.8 Years,737
1519894781-6731,https://www.planespotters.net/airline/Air-China?p=5,B-1396,Boeing 737-8 MAX,C8Y168,28. Nov 2017,0.4 Years,737
1519894774-6617,https://www.planespotters.net/airline/Air-China?p=8,B-7800,Boeing 787-9 Dreamliner,C30W34Y229,28. Jul 2016,1.7 Years,787
1519894786-6843,https://www.planespotters.net/airline/Air-China?p=3,B-6711,Airbus A321-213,F12Y173,11. Nov 2010,7.4 Years,A320
1519894791-6947,https://www.planespotters.net/airline/Air-China?p=1,B-6047,Airbus A319-115,C8Y120,08. Sep 2005,12.5 Years,A320
1519894788-6899,https://www.planespotters.net/airline/Air-China?p=2,B-8743,Airbus A320-232(WL),C8Y150,08. Mar 2017,1.0 Years,A320
1519894779-6680,https://www.planespotters.net/airline/Air-China?p=6,B-1959,Boeing 737-89L(WL),C12Y147,09. Jul 2014,3.7 Years,737
1519894791-6962,https://www.planespotters.net/airline/Air-China?p=1,B-6479,Airbus A319-115(WL),C8Y120,19. Oct 2015,2.4 Years,A320
1519894791-6977,https://www.planespotters.net/airline/Air-China?p=1,B-6731,Airbus A320-232,C8Y150,24. Feb 2011,7.1 Years,A320
1519894786-6869,https://www.planespotters.net/airline/Air-China?p=3,B-,Airbus A321-271N,,(On Order),,A320
1519894781-6771,https://www.planespotters.net/airline/Air-China?p=5,B-1766,Boeing 737-89L(WL),C12Y147,23. Mar 2015,3.0 Years,737
1519894776-6656,https://www.planespotters.net/airline/Air-China?p=7,B-6499,Boeing 737-89L(WL),C12Y147,24. Nov 2015,2.3 Years,737
1519894779-6705,https://www.planespotters.net/airline/Air-China?p=6,B-5327,Boeing 737-86N,C8Y159,06. Sep 2007,10.5 Years,737
1519894788-6903,https://www.planespotters.net/airline/Air-China?p=2,B-9923,Airbus A320-214,C8Y150,27. Sep 2013,4.5 Years,A320
1519894791-6938,https://www.planespotters.net/airline/Air-China?p=1,B-6032,Airbus A319-131,C8Y120,07. Apr 2004,14.0 Years,A320
1519894781-6769,https://www.planespotters.net/airline/Air-China?p=5,B-1764,Boeing 737-89L(WL),C12Y147,29. May 2015,2.8 Years,737
1519894788-6910,https://www.planespotters.net/airline/Air-China?p=2,B-1637,Airbus A321-213(WL),C16Y161,17. Aug 2015,2.9 Years,A320
1519894774-6581,https://www.planespotters.net/airline/Air-China?p=8,B-2067,Boeing 777-2J6,C30W63Y217,18. May 2001,16.9 Years,777
1519894774-6584,https://www.planespotters.net/airline/Air-China?p=8,B-1428,Boeing 777-39L(ER),C36Y356,06. Jul 2017,0.7 Years,777
1519894788-6901,https://www.planespotters.net/airline/Air-China?p=2,B-9918,Airbus A320-214,C8Y150,12. Jul 2013,4.7 Years,A320
1519894788-6928,https://www.planespotters.net/airline/Air-China?p=2,B-6385,Airbus A321-213,F12Y173,29. Nov 2008,9.3 Years,A320
1519894781-6732,https://www.planespotters.net/airline/Air-China?p=5,B-1397,Boeing 737-8 MAX,C8Y168,02. Nov 2017,0.5 Years,737
1519894788-6922,https://www.planespotters.net/airline/Air-China?p=2,B-6361,Airbus A321-213,F12Y173,20. May 2008,9.8 Years,A320
1519894779-6719,https://www.planespotters.net/airline/Air-China?p=6,B-5425,Boeing 737-89L(WL),C8Y159,11. May 2009,8.8 Years,737
1519894774-6606,https://www.planespotters.net/airline/Air-China?p=8,B-2090,Boeing 777-39L(ER),F8C42Y261,24. Apr 2012,5.9 Years,777
1519894791-6954,https://www.planespotters.net/airline/Air-China?p=1,B-6227,Airbus A319-115,C8Y120,02. Aug 2006,11.6 Years,A320
1519894776-6629,https://www.planespotters.net/airline/Air-China?p=7,B-5507,Boeing 737-89L(WL),C8Y159,22. Apr 2010,7.9 Years,737
1519894779-6717,https://www.planespotters.net/airline/Air-China?p=6,B-5422,Boeing 737-89L(WL),C8Y159,24. Mar 2009,9.0 Years,737
1519894786-6839,https://www.planespotters.net/airline/Air-China?p=3,B-6633,Airbus A321-213,F12Y173,29. Apr 2010,7.9 Years,A320
1519894788-6909,https://www.planespotters.net/airline/Air-China?p=2,B-,Airbus A320-271N,,(On Order),,A320
1519894781-6758,https://www.planespotters.net/airline/Air-China?p=5,B-1526,Boeing 737-89L(WL),C8Y159,23. Jul 2015,2.6 Years,737
1519894788-6925,https://www.planespotters.net/airline/Air-China?p=2,B-6365,Airbus A321-213,C12Y173,26. Sep 2008,9.5 Years,A320
1519894776-6637,https://www.planespotters.net/airline/Air-China?p=7,B-5572,Boeing 737-89L(WL),C8Y159,13. Jun 2011,6.8 Years,737
1519894776-6626,https://www.planespotters.net/airline/Air-China?p=7,B-5496,Boeing 737-89L(WL),C8Y159,26. Jan 2010,8.1 Years,737
1519894783-6798,https://www.planespotters.net/airline/Air-China?p=4,B-5901,Airbus A330-343,C30W16Y255,30. Oct 2012,5.4 Years,A330
1519894783-6785,https://www.planespotters.net/airline/Air-China?p=4,B-6093,Airbus A330-243,C30Y207,03. Dec 2007,10.3 Years,A330
1519894781-6746,https://www.planespotters.net/airline/Air-China?p=5,B-5214,Boeing 737-79L(WL),C8Y120,24. Aug 2005,12.6 Years,737
1519894779-6723,https://www.planespotters.net/airline/Air-China?p=6,B-5447,Boeing 737-89L(WL),C8Y159,31. Jan 2011,7.2 Years,737
1519894783-6824,https://www.planespotters.net/airline/Air-China?p=4,B-8577,Airbus A330-343,C30W16Y255,09. Nov 2016,1.4 Years,A330
1519894788-6890,https://www.planespotters.net/airline/Air-China?p=2,B-6941,Airbus A320-214,C8Y150,30. Nov 2012,5.3 Years,A320
1519894788-6896,https://www.planespotters.net/airline/Air-China?p=2,B-8491,Airbus A320-232(WL),C8Y150,25. Aug 2016,1.6 Years,A320
1519894779-6715,https://www.planespotters.net/airline/Air-China?p=6,B-5397,Boeing 737-89L(WL),C8Y159,21. Aug 2008,9.6 Years,737
1519894779-6709,https://www.planespotters.net/airline/Air-China?p=6,B-5342,Boeing 737-89L(WL),C8Y159,19. Nov 2007,10.3 Years,737
1519894781-6767,https://www.planespotters.net/airline/Air-China?p=5,B-1762,Boeing 737-89L(WL),C12Y147,24. Mar 2015,3.0 Years,737
1519894774-6611,https://www.planespotters.net/airline/Air-China?p=8,B-1431,Boeing 787-9 Dreamliner,C30W34Y229,23. Jun 2017,0.7 Years,787
1519894779-6707,https://www.planespotters.net/airline/Air-China?p=6,B-5329,Boeing 737-86N,C8Y159,14. Dec 2007,10.3 Years,737
1519894774-6588,https://www.planespotters.net/airline/Air-China?p=8,B-2031,Boeing 777-39L(ER),F8C42Y261,22. May 2012,5.8 Years,777
1519894783-6810,https://www.planespotters.net/airline/Air-China?p=4,B-5977,Airbus A330-343,C30W16Y255,29. Sep 2015,2.5 Years,A330
1519894791-6949,https://www.planespotters.net/airline/Air-China?p=1,B-6213,Airbus A319-131,C8Y120,23. Nov 2005,12.3 Years,A320
1519894776-6654,https://www.planespotters.net/airline/Air-China?p=7,B-6497,Boeing 737-89L(WL),C12Y147,14. Dec 2015,2.2 Years,737
1519894776-6652,https://www.planespotters.net/airline/Air-China?p=7,B-6106,Boeing 737-89L(WL),C12Y147,16. Oct 2015,2.4 Years,737
1519894786-6836,https://www.planespotters.net/airline/Air-China?p=3,B-6605,Airbus A321-213,C12Y173,10. Nov 2009,8.3 Years,A320
1519894779-6699,https://www.planespotters.net/airline/Air-China?p=6,B-5178,Boeing 737-86N,C8Y159,30. Nov 2006,11.3 Years,737
1519894783-6808,https://www.planespotters.net/airline/Air-China?p=4,B-5957,Airbus A330-343,C30W16Y255,24. Oct 2014,3.5 Years,A330
1519894779-6710,https://www.planespotters.net/airline/Air-China?p=6,B-5343,Boeing 737-89L(WL),C8Y159,20. Dec 2007,10.2 Years,737
1519894788-6895,https://www.planespotters.net/airline/Air-China?p=2,B-8490,Airbus A320-232(WL),C8Y150,12. Apr 2016,2.0 Years,A320
1519894783-6807,https://www.planespotters.net/airline/Air-China?p=4,B-5956,Airbus A330-343,C30W16Y255,29. Sep 2014,3.5 Years,A330
1519894783-6780,https://www.planespotters.net/airline/Air-China?p=4,B-6080,Airbus A330-243,C30Y207,16. Feb 2007,11.1 Years,A330
1519894774-6613,https://www.planespotters.net/airline/Air-China?p=8,B-1467,Boeing 787-9 Dreamliner,C30W34Y229,20. Sep 2017,0.5 Years,787
1519894791-6980,https://www.planespotters.net/airline/Air-China?p=1,B-6767,Airbus A320-214,C8Y150,20. Aug 2011,6.6 Years,A320
1519894791-6967,https://www.planespotters.net/airline/Air-China?p=1,B-1873,Airbus A320-214(WL),C8Y150,24. Sep 2014,3.5 Years,A320
1519894788-6882,https://www.planespotters.net/airline/Air-China?p=2,B-6828,Airbus A320-214,C8Y150,23. Dec 2011,6.2 Years,A320
1519894783-6819,https://www.planespotters.net/airline/Air-China?p=4,B-6525,Airbus A330-343,C30W16Y255,22. Feb 2011,7.1 Years,A330
1519894779-6684,https://www.planespotters.net/airline/Air-China?p=6,B-1978,Boeing 737-89L(WL),C12Y147,17. Oct 2014,3.4 Years,737
1519894776-6627,https://www.planespotters.net/airline/Air-China?p=7,B-5497,Boeing 737-89L(WL),C8Y159,05. Feb 2010,8.1 Years,737
1519894774-6601,https://www.planespotters.net/airline/Air-China?p=8,B-2085,Boeing 777-39L(ER),F8C42Y261,19. Jul 2011,6.7 Years,777
1519894774-6582,https://www.planespotters.net/airline/Air-China?p=8,B-2068,Boeing 777-2J6,C30W63Y217,01. Jun 2001,16.8 Years,777
1519894779-6675,https://www.planespotters.net/airline/Air-China?p=6,B-1946,Boeing 737-89L(WL),C12Y147,14. Mar 2014,4.0 Years,737
1519894779-6701,https://www.planespotters.net/airline/Air-China?p=6,B-5198,Boeing 737-89L(WL),C8Y159,22. Dec 2008,9.2 Years,737
1519894774-6620,https://www.planespotters.net/airline/Air-China?p=8,B-7878,Boeing 787-9 Dreamliner,C30W34Y229,12. Jun 2016,1.8 Years,787
1519894781-6763,https://www.planespotters.net/airline/Air-China?p=5,B-1531,Boeing 737-89L(WL),C12Y147,20. Oct 2015,2.4 Years,737
1519894781-6733,https://www.planespotters.net/airline/Air-China?p=5,B-1398,Boeing 737-8 MAX,C8Y168,19. Dec 2017,0.2 Years,737
1519894776-6659,https://www.planespotters.net/airline/Air-China?p=7,B-7182,Boeing 737-89L(WL),C8Y168,27. Jan 2016,2.1 Years,737
1519894788-6923,https://www.planespotters.net/airline/Air-China?p=2,B-6362,Airbus A321-213,F12Y173,27. Aug 2008,9.5 Years,A320
1519894791-6973,https://www.planespotters.net/airline/Air-China?p=1,B-6610,Airbus A320-214,C8Y150,12. Jan 2010,10.5 Years,A320
1519894791-6972,https://www.planespotters.net/airline/Air-China?p=1,B-6609,Airbus A320-214,C8Y150,12. Dec 2009,10.6 Years,A320
1519894788-6888,https://www.planespotters.net/airline/Air-China?p=2,B-6916,Airbus A320-214,C8Y150,01. Aug 2012,5.6 Years,A320
1519894781-6747,https://www.planespotters.net/airline/Air-China?p=5,B-5220,Boeing 737-79L(WL),C8Y120,27. Jan 2006,12.1 Years,737
1519894781-6726,https://www.planespotters.net/airline/Air-China?p=5,B-,Airbus A350-941,,(On Order),,A350
1519894781-6748,https://www.planespotters.net/airline/Air-China?p=5,B-5227,Boeing 737-79L(WL),C8Y120,16. May 2006,11.8 Years,737
1519894786-6875,https://www.planespotters.net/airline/Air-China?p=3,B-6070,Airbus A330-243,C12Y271,06. Jun 2006,11.8 Years,A330
1519894786-6847,https://www.planespotters.net/airline/Air-China?p=3,B-6791,Airbus A321-232,C12Y173,07. Jul 2011,6.7 Years,A320
1519894786-6829,https://www.planespotters.net/airline/Air-China?p=3,B-6556,Airbus A321-213,F12Y173,19. Feb 2009,9.0 Years,A320
1519894791-6952,https://www.planespotters.net/airline/Air-China?p=1,B-6225,Airbus A319-115,C8Y120,06. Jul 2006,11.7 Years,A320
1519894786-6846,https://www.planespotters.net/airline/Air-China?p=3,B-6742,Airbus A321-232,C12Y173,27. May 2011,6.8 Years,A320
1519894776-6661,https://www.planespotters.net/airline/Air-China?p=7,B-7596,Boeing 737-89L(WL),C8Y168,24. May 2016,1.8 Years,737
1519894791-6934,https://www.planespotters.net/airline/Air-China?p=1,B-6022,Airbus A319-131,C8Y120,14. Jul 2003,14.7 Years,A320
1519894779-6694,https://www.planespotters.net/airline/Air-China?p=6,B-5167,Boeing 737-808,C8Y159,13. Mar 2006,12.0 Years,737
1519894776-6655,https://www.planespotters.net/airline/Air-China?p=7,B-6498,Boeing 737-89L(WL),C12Y147,18. Dec 2015,2.2 Years,737
1519894774-6608,https://www.planespotters.net/airline/Air-China?p=8,B-7952,Boeing 777-39L(ER),C36Y356,08. Nov 2016,1.4 Years,777
1519894791-6945,https://www.planespotters.net/airline/Air-China?p=1,B-6044,Airbus A319-115,C8Y120,04. Aug 2005,12.6 Years,A320
1519894776-6635,https://www.planespotters.net/airline/Air-China?p=7,B-5525,Boeing 737-86N,C8Y159,18. Oct 2010,7.4 Years,737
1519894783-6811,https://www.planespotters.net/airline/Air-China?p=4,B-5978,Airbus A330-343,C30W16Y255,30. Oct 2015,2.4 Years,A330
1519894776-6640,https://www.planespotters.net/airline/Air-China?p=7,B-5585,Boeing 737-89L(WL),C8Y159,29. Aug 2011,6.6 Years,737
1519894776-6670,https://www.planespotters.net/airline/Air-China?p=7,B-2447,Boeing 747-4J6,F10C42Y292,23. Feb 1995,23.1 Years,747
1519894774-6600,https://www.planespotters.net/airline/Air-China?p=8,B-2047,Boeing 777-39L(ER),F8C42Y261,29. Apr 2014,3.9 Years,777
1519894776-6667,https://www.planespotters.net/airline/Air-China?p=7,B-7896,Boeing 737-89L(WL),C8Y168,21. Nov 2016,1.3 Years,737
1519894781-6741,https://www.planespotters.net/airline/Air-China?p=5,B-5045,Boeing 737-79L,C8Y120,30. Jul 2003,14.6 Years,737
1519894783-6781,https://www.planespotters.net/airline/Air-China?p=4,B-6081,Airbus A330-243,C12Y271,15. May 2007,10.9 Years,A330
1519894783-6801,https://www.planespotters.net/airline/Air-China?p=4,B-5913,Airbus A330-343,C30W16Y255,28. Mar 2014,4.0 Years,A330
1519894774-6604,https://www.planespotters.net/airline/Air-China?p=8,B-2088,Boeing 777-39L(ER),F8C42Y261,12. Dec 2011,6.3 Years,777
1519894786-6841,https://www.planespotters.net/airline/Air-China?p=3,B-6675,Airbus A321-213,F12Y173,26. Jul 2010,7.6 Years,A320
1519894776-6662,https://www.planespotters.net/airline/Air-China?p=7,B-7598,Boeing 737-89L(WL),C8Y168,26. May 2016,1.8 Years,737
1519894781-6740,https://www.planespotters.net/airline/Air-China?p=5,B-5044,Boeing 737-79L,C8Y120,22. Jul 2003,14.7 Years,737
1519894781-6737,https://www.planespotters.net/airline/Air-China?p=5,B-2700,Boeing 737-79L,C8Y120,27. Aug 2004,13.6 Years,737
