web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Age,Models
1519892599-2561,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N675DL,Boeing 757-232,C24W20Y136,29. Apr 1992,25.9 Years,757
1519892589-2354,https://www.planespotters.net/airline/Delta-Air-Lines?p=15,N949DL,McDonnell Douglas MD-88,C16W15Y118,09. Feb 1990,28.3 Years,MD80
1519892624-3085,https://www.planespotters.net/airline/Delta-Air-Lines?p=1,N332NB,Airbus A319-114,C12W18Y96,29. Oct 2008,16.6 Years,A320
1519892594-2439,https://www.planespotters.net/airline/Delta-Air-Lines?p=13,N174DZ,Boeing 767-332(ER)(WL),C36W32Y143,05. Nov 1998,19.4 Years,767
1519892591-2406,https://www.planespotters.net/airline/Delta-Air-Lines?p=14,N903DE,McDonnell Douglas MD-88,C16W15Y118,10. Apr 1992,26.0 Years,MD80
1519892602-2623,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N556NW,Boeing 757-251(WL),C20W29Y150,29. Oct 2008,15.8 Years,757
1519892614-2877,https://www.planespotters.net/airline/Delta-Air-Lines?p=5,N922AT,Boeing 717-2BD,C12W15Y83,20. Nov 2014,12.8 Years,717
1519892607-2725,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N806DN,Boeing 737-932(ER)(WL),C20W21Y139,12. Nov 2013,4.3 Years,737
1519892612-2818,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N972AT,Boeing 717-2BD,C12W15Y83,13. Mar 2015,16.4 Years,717
1519892599-2539,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N6701,Boeing 757-232(WL),C20W29Y150,"01. May 2006
(07. Oct 1999)",18.5 Years,757
1519892594-2434,https://www.planespotters.net/airline/Delta-Air-Lines?p=13,N171DZ,Boeing 767-332(ER)(WL),C36W32Y143,11. Sep 1998,19.5 Years,767
1519892586-2280,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N981DL,McDonnell Douglas MD-88,C16W15Y118,30. May 1991,26.9 Years,MD80
1519892617-2919,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N857NW,Airbus A330-223,C34W32Y168,29. Oct 2008,13.4 Years,A330
1519892584-2267,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N963DN,McDonnell Douglas MD-90-30,C16W15Y129,01. Dec 2011,19.1 Years,MD90
1519892607-2707,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N390DA,Boeing 737-832(WL),C16W18Y126,28. Apr 2000,18.0 Years,737
1519892609-2781,https://www.planespotters.net/airline/Delta-Air-Lines?p=7,N3758Y,Boeing 737-832(WL),C16W18Y126,22. Aug 2001,16.6 Years,737
1519892619-2973,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N302DN,Airbus A321-211(WL),C20W29Y143,12. Apr 2016,1.9 Years,A320
1519892602-2630,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N654DL,Boeing 757-232,F72,"01. May 2006
(22. Feb 1990)",28.1 Years,757
1519892594-2470,https://www.planespotters.net/airline/Delta-Air-Lines?p=13,N825MH,Boeing 767-432(ER),C40W28Y178,14. Dec 2000,18.4 Years,767
1519892609-2769,https://www.planespotters.net/airline/Delta-Air-Lines?p=7,N3747D,Boeing 737-832(WL),C16W18Y126,21. May 2001,16.8 Years,737
1519892591-2384,https://www.planespotters.net/airline/Delta-Air-Lines?p=14,N845MH,Boeing 767-432(ER),C40W28Y178,15. Apr 2002,15.9 Years,767
1519892599-2574,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N689DL,Boeing 757-232(WL),C20W29Y150,18. Jun 1998,19.7 Years,757
1519892594-2431,https://www.planespotters.net/airline/Delta-Air-Lines?p=13,N1613B,Boeing 767-332(ER)(WL),C36W29Y143,10. Aug 2001,16.6 Years,767
1519892622-3023,https://www.planespotters.net/airline/Delta-Air-Lines?p=2,N323US,Airbus A320-211,C12W18Y120,29. Oct 2008,26.3 Years,A320
1519892596-2490,https://www.planespotters.net/airline/Delta-Air-Lines?p=12,N718TW,Boeing 757-231(WL),C16W44Y108,14. Dec 2007,18.8 Years,757
1519892614-2882,https://www.planespotters.net/airline/Delta-Air-Lines?p=5,N927AT,Boeing 717-231,C12W15Y83,06. Apr 2014,17.4 Years,717
1519892619-3001,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N330DX,Airbus A321-211(WL),C20W29Y143,06. Dec 2017,0.3 Years,A320
1519892617-2921,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N859NW,Airbus A330-223,C34W32Y168,29. Oct 2008,12.1 Years,A330
1519892609-2779,https://www.planespotters.net/airline/Delta-Air-Lines?p=7,N3756,Boeing 737-832(WL),C16W18Y126,04. Sep 2001,16.6 Years,737
1519892602-2639,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N665DN,Boeing 757-232(WL),C24W20Y136,01. Mar 1991,27.1 Years,757
1519892584-2248,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N941DN,McDonnell Douglas MD-90-30,C16W15Y129,28. Feb 2012,20.4 Years,MD90
1519892617-2949,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N826NW,Airbus A330-302,C34W32Y227,29. Jan 2016,2.1 Years,A330
1519892619-2982,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N311DN,Airbus A321-211(WL),C20W29Y143,21. Sep 2016,1.5 Years,A320
1519892599-2585,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N703TW,Boeing 757-2Q8(WL),C16W44Y108,17. Jul 2007,21.3 Years,757
1519892622-3018,https://www.planespotters.net/airline/Delta-Air-Lines?p=2,N317US,Airbus A320-211,C12W18Y120,29. Oct 2008,26.9 Years,A320
1519892614-2876,https://www.planespotters.net/airline/Delta-Air-Lines?p=5,N921AT,Boeing 717-231,C12W15Y83,23. Apr 2014,17.2 Years,717
1519892586-2321,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N923DN,McDonnell Douglas MD-90-30,C16W15Y129,26. May 2010,20.0 Years,MD90
1519892612-2824,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N980AT,Boeing 717-2BD,C12W15Y83,19. Jul 2015,15.5 Years,717
1519892586-2318,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N920DN,McDonnell Douglas MD-90-30,C16W15Y129,16. Mar 2010,20.5 Years,MD90
1519892614-2893,https://www.planespotters.net/airline/Delta-Air-Lines?p=5,N939AT,Boeing 717-2BD,C12W15Y83,14. May 2015,11.9 Years,717
1519892586-2296,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N997DL,McDonnell Douglas MD-88,C16W15Y118,19. Feb 1992,26.2 Years,MD80
1519892617-2928,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N805NW,Airbus A330-323,C34W32Y227,29. Oct 2008,14.4 Years,A330
1519892612-2822,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N978AT,Boeing 717-2BD,C12W15Y83,07. Nov 2013,15.8 Years,717
1519892607-2708,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N391DA,Boeing 737-832(WL),C16W18Y126,08. May 2000,17.9 Years,737
1519892599-2572,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N687DL,Boeing 757-232(WL),C20W29Y150,04. May 1998,19.9 Years,757
1519892584-2266,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N962DN,McDonnell Douglas MD-90-30,C16W15Y129,28. Oct 2011,19.2 Years,MD90
1519892617-2947,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N824NW,Airbus A330-302,C34W32Y227,24. Jun 2015,2.7 Years,A330
1519892614-2887,https://www.planespotters.net/airline/Delta-Air-Lines?p=5,N933AT,Boeing 717-231,C12W15Y83,26. Nov 2013,17.8 Years,717
1519892589-2370,https://www.planespotters.net/airline/Delta-Air-Lines?p=15,N965DL,McDonnell Douglas MD-88,C16W15Y118,24. Aug 1990,27.6 Years,MD80
1519892617-2918,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N856NW,Airbus A330-223,C34W32Y168,29. Oct 2008,13.4 Years,A330
1519892599-2564,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N679DA,Boeing 757-232,C24W20Y136,12. Nov 1992,25.4 Years,757
1519892586-2282,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N983DL,McDonnell Douglas MD-88,C16W15Y118,26. Jun 1991,26.9 Years,MD80
1519892617-2916,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N854NW,Airbus A330-223,C34W32Y168,29. Oct 2008,13.5 Years,A330
1519892584-2269,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N965DN,McDonnell Douglas MD-90-30,C16W15Y129,30. Nov 2010,18.2 Years,MD90
1519892619-2960,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N367NW,Airbus A320-212,C12W18Y120,29. Oct 2008,19.0 Years,A320
1519892612-2803,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N956AT,Boeing 717-2BD,C12W15Y83,30. Apr 2014,17.4 Years,717
1519892619-2980,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N309DN,Airbus A321-211(WL),C20W29Y143,18. Aug 2016,1.6 Years,A320
