web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894523-5766","https://www.planespotters.net/airline/China-Southern-Airlines?p=6","B-6058","Airbus A330-243","C24W50Y184","22. Apr 2005","null","13.0 Years"
"1519894520-5727","https://www.planespotters.net/airline/China-Southern-Airlines?p=7","B-5070","Boeing 737-71B(WL)","C8W24Y88","25. May 2004","null","13.8 Years"
"1519894513-5597","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-2010","Boeing 777-F1B","Cargo","14. Jan 2015","null","3.2 Years"
"1519894528-5917","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-6579","Airbus A321-231","C12W24Y143","12. Jun 2009","null","8.7 Years"
"1519894523-5812","https://www.planespotters.net/airline/China-Southern-Airlines?p=6","B-6136","Airbus A380-841","F8C70Y428","12. Oct 2011","null","7.0 Years"
"1519894528-5905","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-6343","Airbus A321-231","C12W24Y143","24. Apr 2008","null","9.9 Years"
"1519894528-5911","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-6389","Airbus A321-231","C12W24Y143","20. Jan 2009","null","9.1 Years"
"1519894532-6022","https://www.planespotters.net/airline/China-Southern-Airlines?p=2","B-6786","Airbus A320-232","C8W24Y120","29. Jul 2011","null","6.7 Years"
"1519894525-5846","https://www.planespotters.net/airline/China-Southern-Airlines?p=5","B-8677","Airbus A321-211(WL)","C12W24Y143","22. Dec 2016","null","1.2 Years"
"1519894518-5704","https://www.planespotters.net/airline/China-Southern-Airlines?p=8","B-5067","Boeing 737-81B(WL)","C8W24Y129","04. Dec 2003","null","14.4 Years"
"1519894532-6002","https://www.planespotters.net/airline/China-Southern-Airlines?p=2","B-6652","Airbus A320-232","C8W24Y120","12. Jun 2010","null","7.8 Years"
"1519894518-5699","https://www.planespotters.net/airline/China-Southern-Airlines?p=8","B-5021","Boeing 737-81B","C8W24Y129","11. Mar 2003","null","15.0 Years"
"1519894520-5713","https://www.planespotters.net/airline/China-Southern-Airlines?p=7","B-1200","Boeing 737-8 MAX","","22. Dec 2017","null","0.2 Years"
"1519894530-5961","https://www.planespotters.net/airline/China-Southern-Airlines?p=3","B-8545","Airbus A320-271N","C4W24Y138","13. Dec 2016","null","1.7 Years"
"1519894532-5989","https://www.planespotters.net/airline/China-Southern-Airlines?p=2","B-6290","Airbus A320-214","C8W24Y120","22. Sep 2006","null","11.5 Years"
"1519894513-5559","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-5741","Boeing 737-81B(WL)","C8W24Y132","23. May 2013","null","4.8 Years"
"1519894513-5571","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-5766","Boeing 737-81B(WL)","C8W24Y132","14. Aug 2013","null","4.6 Years"
"1519894515-5632","https://www.planespotters.net/airline/China-Southern-Airlines?p=9","B-5446","Boeing 737-81B(WL)","C8W24Y132","19. Jan 2010","null","8.2 Years"
"1519894528-5897","https://www.planespotters.net/airline/China-Southern-Airlines?p=4","B-6306","Airbus A321-231","C12W24Y143","16. Mar 2007","null","11.0 Years"
"1519894513-5596","https://www.planespotters.net/airline/China-Southern-Airlines?p=10","B-2853","Boeing 757-28S","C8W23Y166","Jul 2005","null","19.7 Years"
"1519894518-5669","https://www.planespotters.net/airline/China-Southern-Airlines?p=8","B-1736","Boeing 737-81B(WL)","C8W24Y132","26. Jan 2015","null","3.1 Years"
