web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892589-2326","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N918DE","McDonnell Douglas MD-88","C16W15Y118","30. Sep 1993","9018","24.6 Years"
"1519892612-2805","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N958AT","Boeing 717-2BD","C12W15Y83","02. Jul 2014","9517","17.2 Years"
"1519892596-2514","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N594NW","Boeing 757-351(WL)","C24W26Y184","29. Oct 2008","5814","14.6 Years"
"1519892619-2998","https://www.planespotters.net/airline/Delta-Air-Lines?p=3","N327DN","Airbus A321-211(WL)","C20W29Y143","02. Oct 2017","3027","0.5 Years"
"1519892589-2349","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N944DL","McDonnell Douglas MD-88","C16W15Y118","12. Aug 1989","944","28.7 Years"
"1519892584-2259","https://www.planespotters.net/airline/Delta-Air-Lines?p=17","N952DN","McDonnell Douglas MD-90-30","C16W15Y129","19. Nov 2012","9252","19.8 Years"
"1519892607-2700","https://www.planespotters.net/airline/Delta-Air-Lines?p=8","N383DN","Boeing 737-832(WL)","C16W18Y126","19. Oct 1999","3713","18.4 Years"
"1519892596-2510","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N590NW","Boeing 757-351(WL)","C24W26Y184","29. Oct 2008","5810","15.0 Years"
"1519892599-2535","https://www.planespotters.net/airline/Delta-Air-Lines?p=11","N667DN","Boeing 757-232(WL)","C24W20Y136","27. Mar 1991","667","27.0 Years"
"1519892596-2527","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N1603","Boeing 767-332(ER)(WL)","C36W32Y143","05. Feb 1999","1603","19.1 Years"
"1519892612-2800","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N953AT","Boeing 717-2BD","C12W15Y83","05. Jan 2014","9512","17.6 Years"
"1519892594-2476","https://www.planespotters.net/airline/Delta-Air-Lines?p=13","N831MH","Boeing 767-432(ER)","C40W28Y178","20. Sep 2000","1807","17.5 Years"
"1519892624-3065","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N301NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3101","18.6 Years"
"1519892612-2838","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N992AT","Boeing 717-2BD","C12W15Y83","06. Jan 2016","9535","16.1 Years"
"1519892591-2377","https://www.planespotters.net/airline/Delta-Air-Lines?p=14","N838MH","Boeing 767-432(ER)","C40W28Y178","10. Jan 2001","1814","17.2 Years"
"1519892607-2697","https://www.planespotters.net/airline/Delta-Air-Lines?p=8","N380DA","Boeing 737-832(WL)","C16W18Y126","20. Sep 1999","3710","18.5 Years"
"1519892596-2494","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N727TW","Boeing 757-231(WL)","C16W44Y108","14. Mar 2008","6813","18.3 Years"
