web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893746-4405","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-ETS","Boeing 777-3FX(ER)","F8C40Y280","16. Sep 2014","null","3.5 Years"
"1519893751-4510","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-DCA","Airbus A330-243F","Cargo","09. Aug 2010","null","8.1 Years"
"1519893751-4502","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEC","Airbus A321-231(WL)","C16Y158","18. Jun 2014","null","3.7 Years"
"1519893751-4486","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIN","Airbus A320-232","C16Y120","07. Dec 2009","null","8.3 Years"
"1519893749-4430","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYT","Airbus A330-243","C22Y240","31. Jan 2014","null","4.2 Years"
"1519893749-4471","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETO","Boeing 777-3FX(ER)","F8C40Y280","29. May 2013","null","4.8 Years"
"1519893751-4505","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEF","Airbus A321-231(WL)","C16Y158","23. Apr 2015","null","2.9 Years"
"1519893746-4419","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLN","Boeing 787-9 Dreamliner","C28Y271","13. Jun 2017","null","0.7 Years"
"1519893749-4439","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APB","Airbus A380-861","P2F9C70Y417","24. Apr 2015","null","3.5 Years"
"1519893746-4412","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLG","Boeing 787-9 Dreamliner","C28Y271","24. May 2016","null","1.8 Years"
"1519893746-4417","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLL","Boeing 787-9 Dreamliner","C28Y271","21. Feb 2017","null","1.1 Years"
"1519893749-4470","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETN","Boeing 777-3FX(ER)","F8C40Y280","20. Mar 2013","null","5.0 Years"
"1519893749-4455","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-LRD","Boeing 777-237(LR)","F8C40Y189","17. May 2014","null","10.4 Years"
"1519893749-4454","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-LRB","Boeing 777-237(LR)","F8C40Y189","03. Mar 2014","null","10.6 Years"
"1519893751-4497","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIY","Airbus A320-232(WL)","C16Y120","08. Sep 2014","null","3.6 Years"
"1519893746-4422","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLQ","Boeing 787-9 Dreamliner","C28Y271","20. Sep 2017","null","0.5 Years"
"1519893749-4456","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-LRE","Boeing 777-237(LR)","F8C40Y189","19. Apr 2014","null","10.0 Years"
"1519893749-4444","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APG","Airbus A380-861","P2F9C70Y417","12. Apr 2016","null","2.3 Years"
"1519893749-4452","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-DDE","Boeing 777-FFX","Cargo","14. Mar 2016","null","2.0 Years"
"1519893746-4410","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLE","Boeing 787-9 Dreamliner","F8C28Y199","30. Jun 2015","null","2.7 Years"
"1519893749-4463","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETG","Boeing 777-3FX(ER)","C28Y384","18. May 2011","null","6.9 Years"
"1519893749-4450","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-DDC","Boeing 777-FFX","Cargo","09. May 2013","null","4.9 Years"
"1519893751-4479","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIG","Airbus A320-232","C16Y120","19. Jun 2008","null","11.1 Years"
"1519893746-4414","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLI","Boeing 787-9 Dreamliner","C28Y271","28. Jul 2016","null","1.6 Years"
"1519893746-4407","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLB","Boeing 787-9 Dreamliner","F8C28Y199","26. Feb 2015","null","3.1 Years"
"1519893749-4440","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APC","Airbus A380-861","P2F9C70Y417","29. May 2015","null","3.3 Years"
"1519893751-4501","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEB","Airbus A321-231(WL)","C16Y158","23. May 2014","null","3.8 Years"
"1519893746-4408","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLC","Boeing 787-9 Dreamliner","F8C28Y199","27. Jul 2015","null","2.6 Years"
"1519893746-4424","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLS","Boeing 787-9 Dreamliner","C28Y271","15. Dec 2017","null","0.2 Years"
"1519893751-4491","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIS","Airbus A320-232(WL)","C16Y120","22. Aug 2013","null","4.6 Years"
"1519893746-4411","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLF","Boeing 787-9 Dreamliner","C28Y271","26. Apr 2016","null","1.9 Years"
"1519893751-4523","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYM","Airbus A330-243","C22Y240","03. May 2007","null","11.0 Years"
"1519893749-4431","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYU","Airbus A330-243","C22Y240","19. May 2014","null","3.9 Years"
"1519893746-4415","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLJ","Boeing 787-9 Dreamliner","C28Y271","14. Oct 2016","null","1.4 Years"
"1519893751-4482","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIJ","Airbus A320-232","C16Y120","25. May 2009","null","8.8 Years"
"1519893751-4496","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIX","Airbus A320-232(WL)","C16Y120","24. Jun 2014","null","3.8 Years"
"1519893751-4507","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEH","Airbus A321-231(WL)","C16Y158","08. Sep 2015","null","2.5 Years"
"1519893751-4490","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIR","Airbus A320-232","C16Y120","19. Dec 2012","null","5.2 Years"
"1519893749-4466","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETJ","Boeing 777-3FX(ER)","C28Y384","17. Feb 2012","null","6.1 Years"
"1519893749-4469","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETM","Boeing 777-3FX(ER)","F8C40Y280","22. Jan 2013","null","5.2 Years"
"1519893746-4420","https://www.planespotters.net/airline/Etihad-Airways?p=3","A6-BLO","Boeing 787-9 Dreamliner","C28Y271","14. Jul 2017","null","0.7 Years"
"1519893749-4427","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYQ","Airbus A330-243","C22Y240","29. Sep 2007","null","10.5 Years"
"1519893749-4467","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETK","Boeing 777-3FX(ER)","F8C40Y280","28. Jun 2012","null","5.8 Years"
"1519893751-4506","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-AEG","Airbus A321-231(WL)","C16Y158","20. Aug 2015","null","2.6 Years"
"1519893749-4434","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-AFC","Airbus A330-343","F8C32Y191","10. Nov 2010","null","7.3 Years"
"1519893749-4441","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-APD","Airbus A380-861","P2F9C70Y417","07. Aug 2015","null","3.1 Years"
"1519893749-4465","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETI","Boeing 777-3FX(ER)","C28Y384","23. Jan 2012","null","6.2 Years"
"1519893751-4499","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EJA","Airbus A320-232(WL)","C16Y120","23. Apr 2015","null","3.0 Years"
"1519893749-4429","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYS","Airbus A330-243","C22Y240","04. Mar 2009","null","9.1 Years"
"1519893751-4476","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIE","Airbus A319-132","C16Y90","09. May 2008","null","14.9 Years"
"1519893749-4425","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYO","Airbus A330-243","C22Y240","20. Sep 2007","null","10.7 Years"
"1519893751-4518","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EYH","Airbus A330-243","C22Y240","24. Apr 2006","null","12.0 Years"
"1519893749-4458","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETB","Boeing 777-3FX(ER)","C28Y384","27. Feb 2006","null","12.2 Years"
"1519893749-4459","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-ETC","Boeing 777-3FX(ER)","C28Y384","29. Mar 2006","null","12.2 Years"
"1519893749-4428","https://www.planespotters.net/airline/Etihad-Airways?p=2","A6-EYR","Airbus A330-243","C22Y240","13. Jan 2009","null","9.3 Years"
"1519893751-4492","https://www.planespotters.net/airline/Etihad-Airways?p=1","A6-EIT","Airbus A320-232(WL)","C16Y120","17. Oct 2013","null","4.5 Years"
