web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894774-6577","https://www.planespotters.net/airline/Air-China?p=8","B-2482","Boeing 747-89L","F12C54W66Y233","20. May 2015","null","2.8 Years"
"1519894788-6927","https://www.planespotters.net/airline/Air-China?p=2","B-6383","Airbus A321-213","F12Y173","17. Oct 2008","null","9.4 Years"
"1519894776-6645","https://www.planespotters.net/airline/Air-China?p=7","B-5681","Boeing 737-89L(WL)","C8Y159","15. Oct 2012","null","5.4 Years"
"1519894781-6749","https://www.planespotters.net/airline/Air-China?p=5","B-5228","Boeing 737-79L(WL)","C8Y120","18. Jul 2006","null","11.7 Years"
"1519894786-6851","https://www.planespotters.net/airline/Air-China?p=3","B-6848","Airbus A321-232","C12Y173","29. Feb 2012","null","6.0 Years"
"1519894791-6974","https://www.planespotters.net/airline/Air-China?p=1","B-6611","Airbus A320-214","C8Y150","03. Dec 2009","null","11.8 Years"
"1519894786-6858","https://www.planespotters.net/airline/Air-China?p=3","B-6973","Airbus A321-213","C12Y173","26. Apr 2013","null","4.9 Years"
"1519894774-6594","https://www.planespotters.net/airline/Air-China?p=8","B-2038","Boeing 777-39L(ER)","F8C42Y261","21. Mar 2013","null","5.0 Years"
"1519894791-6951","https://www.planespotters.net/airline/Air-China?p=1","B-6223","Airbus A319-115","C8Y120","21. Jun 2006","null","11.7 Years"
"1519894774-6580","https://www.planespotters.net/airline/Air-China?p=8","B-2487","Boeing 747-89L","F12C54W66Y233","08. Dec 2014","null","3.4 Years"
"1519894774-6593","https://www.planespotters.net/airline/Air-China?p=8","B-2037","Boeing 777-39L(ER)","F8C42Y261","22. Apr 2013","null","4.9 Years"
"1519894781-6751","https://www.planespotters.net/airline/Air-China?p=5","B-5296","Boeing 737-79L(WL)","C8Y120","15. Jan 2013","null","5.2 Years"
"1519894783-6805","https://www.planespotters.net/airline/Air-China?p=4","B-5947","Airbus A330-343","C30W16Y255","30. Jun 2014","null","3.7 Years"
"1519894774-6614","https://www.planespotters.net/airline/Air-China?p=8","B-1468","Boeing 787-9 Dreamliner","C30W34Y229","21. Nov 2017","null","0.3 Years"
"1519894781-6764","https://www.planespotters.net/airline/Air-China?p=5","B-1738","Boeing 737-89L(WL)","C12Y147","25. Nov 2014","null","3.3 Years"
"1519894786-6876","https://www.planespotters.net/airline/Air-China?p=3","B-6071","Airbus A330-243","C12Y271","20. Jun 2006","null","12.8 Years"
"1519894781-6774","https://www.planespotters.net/airline/Air-China?p=5","B-1909","Boeing 737-89L(WL)","C12Y147","08. Nov 2013","null","4.3 Years"
"1519894774-6603","https://www.planespotters.net/airline/Air-China?p=8","B-2087","Boeing 777-39L(ER)","F8C42Y261","18. Aug 2011","null","6.6 Years"
"1519894779-6714","https://www.planespotters.net/airline/Air-China?p=6","B-5392","Boeing 737-89L(WL)","C8Y159","21. Jul 2008","null","9.7 Years"
"1519894779-6686","https://www.planespotters.net/airline/Air-China?p=6","B-2641","Boeing 737-89L","C8Y159","17. Aug 1999","null","18.6 Years"
"1519894786-6864","https://www.planespotters.net/airline/Air-China?p=3","B-8585","Airbus A321-232(WL)","C16Y161","02. Aug 2017","null","0.6 Years"
"1519894774-6612","https://www.planespotters.net/airline/Air-China?p=8","B-1466","Boeing 787-9 Dreamliner","C30W34Y229","11. Aug 2017","null","0.6 Years"
"1519894791-6950","https://www.planespotters.net/airline/Air-China?p=1","B-6216","Airbus A319-131","C8Y120","22. Dec 2005","null","12.2 Years"
"1519894774-6598","https://www.planespotters.net/airline/Air-China?p=8","B-2045","Boeing 777-39L(ER)","F8C42Y261","26. Mar 2014","null","4.0 Years"
"1519894786-6848","https://www.planespotters.net/airline/Air-China?p=3","B-6792","Airbus A321-232","C16Y161","09. Sep 2011","null","6.5 Years"
"1519894776-6641","https://www.planespotters.net/airline/Air-China?p=7","B-5621","Boeing 737-89L(WL)","C8Y159","22. Nov 2011","null","6.3 Years"
"1519894783-6779","https://www.planespotters.net/airline/Air-China?p=4","B-6079","Airbus A330-243","C30Y207","23. Jan 2007","null","11.2 Years"
"1519894788-6898","https://www.planespotters.net/airline/Air-China?p=2","B-8582","Airbus A320-232(WL)","C8Y150","06. Sep 2017","null","0.5 Years"
"1519894774-6610","https://www.planespotters.net/airline/Air-China?p=8","B-1368","Boeing 787-9 Dreamliner","C30W34Y229","08. Feb 2018","null","0.1 Years"
"1519894779-6679","https://www.planespotters.net/airline/Air-China?p=6","B-1958","Boeing 737-89L(WL)","C12Y147","13. Aug 2014","null","3.6 Years"
"1519894786-6835","https://www.planespotters.net/airline/Air-China?p=3","B-6603","Airbus A321-213","C12Y173","11. Dec 2009","null","8.2 Years"
"1519894783-6802","https://www.planespotters.net/airline/Air-China?p=4","B-5916","Airbus A330-343","C30W16Y255","06. Feb 2013","null","5.2 Years"
"1519894776-6666","https://www.planespotters.net/airline/Air-China?p=7","B-7895","Boeing 737-89L(WL)","C8Y168","20. Oct 2016","null","1.4 Years"
"1519894774-6621","https://www.planespotters.net/airline/Air-China?p=8","B-7879","Boeing 787-9 Dreamliner","C30W34Y229","22. Jun 2016","null","1.8 Years"
"1519894779-6720","https://www.planespotters.net/airline/Air-China?p=6","B-5426","Boeing 737-89L(WL)","C8Y159","22. Jul 2009","null","8.6 Years"
"1519894788-6920","https://www.planespotters.net/airline/Air-China?p=2","B-6326","Airbus A321-213","F12Y173","18. Dec 2007","null","10.3 Years"
"1519894776-6638","https://www.planespotters.net/airline/Air-China?p=7","B-5582","Boeing 737-89L(WL)","C8Y159","14. Jul 2011","null","6.7 Years"
"1519894786-6833","https://www.planespotters.net/airline/Air-China?p=3","B-6597","Airbus A321-213","C12Y173","19. Oct 2009","null","8.4 Years"
"1519894774-6586","https://www.planespotters.net/airline/Air-China?p=8","B-1430","Boeing 777-39L(ER)","C36Y356","28. Aug 2017","null","0.5 Years"
"1519894783-6793","https://www.planespotters.net/airline/Air-China?p=4","B-6533","Airbus A330-243","C30Y207","12. Jul 2011","null","6.7 Years"
"1519894776-6674","https://www.planespotters.net/airline/Air-China?p=7","B-2481","Boeing 747-89L","F12C54W66Y233","23. Apr 2015","null","2.9 Years"
"1519894779-6692","https://www.planespotters.net/airline/Air-China?p=6","B-2671","Boeing 737-89L","C8Y159","29. Jun 2002","null","15.7 Years"
"1519894781-6754","https://www.planespotters.net/airline/Air-China?p=5","B-1416","Boeing 737-89L(WL)","C8Y168","24. Apr 2017","null","0.9 Years"
"1519894786-6867","https://www.planespotters.net/airline/Air-China?p=3","B-8800","Airbus A321-232(WL)","C16Y161","28. Feb 2017","null","1.0 Years"
"1519894791-6968","https://www.planespotters.net/airline/Air-China?p=1","B-1875","Airbus A320-214(WL)","C8Y150","16. Dec 2014","null","3.2 Years"
"1519894788-6884","https://www.planespotters.net/airline/Air-China?p=2","B-6847","Airbus A320-214","C8Y150","16. Mar 2012","null","6.0 Years"
"1519894791-6979","https://www.planespotters.net/airline/Air-China?p=1","B-6745","Airbus A320-232","C8Y150","02. Jun 2011","null","6.8 Years"
"1519894776-6649","https://www.planespotters.net/airline/Air-China?p=7","B-5848","Boeing 737-89L(WL)","C12Y147","13. Sep 2013","null","4.5 Years"
"1519894774-6595","https://www.planespotters.net/airline/Air-China?p=8","B-2039","Boeing 777-39L(ER)","F8C42Y261","10. Jul 2013","null","4.7 Years"
"1519894783-6782","https://www.planespotters.net/airline/Air-China?p=4","B-6090","Airbus A330-243","C30Y207","04. Sep 2007","null","10.6 Years"
"1519894788-6894","https://www.planespotters.net/airline/Air-China?p=2","B-8429","Airbus A320-232(WL)","C8Y150","18. Mar 2016","null","2.0 Years"
"1519894776-6671","https://www.planespotters.net/airline/Air-China?p=7","B-2472","Boeing 747-4J6","VIP","02. May 2000","null","17.9 Years"
"1519894781-6728","https://www.planespotters.net/airline/Air-China?p=5","B-1392","Boeing 737-8 MAX","C8Y168","13. Dec 2017","null","0.3 Years"
"1519894791-6942","https://www.planespotters.net/airline/Air-China?p=1","B-6036","Airbus A319-115","C8Y120","09. Sep 2004","null","13.5 Years"
"1519894786-6837","https://www.planespotters.net/airline/Air-China?p=3","B-6631","Airbus A321-213","F12Y173","03. Feb 2010","null","8.1 Years"
"1519894779-6697","https://www.planespotters.net/airline/Air-China?p=6","B-5176","Boeing 737-86N","C8Y159","07. Nov 2006","null","11.4 Years"
