web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893951-4846","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIHH","Airbus A340-642","F8C44W32Y213","12. Mar 2004","null","14.1 Years"
"1519893961-5049","https://www.planespotters.net/airline/Lufthansa?p=1","D-AILH","Airbus A319-114","CY138","29. Oct 2011
(27. Jan 1997)","null","21.2 Years"
"1519893961-5077","https://www.planespotters.net/airline/Lufthansa?p=1","D-AIPZ","Airbus A320-211","CY168","02. Sep 2016
(08. Mar 1991)","null","27.1 Years"
"1519893951-4868","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIXI","Airbus A350-941","C48W21Y224","(On Order)","null",""
"1519893961-5064","https://www.planespotters.net/airline/Lufthansa?p=1","D-AIPB","Airbus A320-211","CY168","20. Oct 1989","null","28.6 Years"
"1519893953-4909","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIKG","Airbus A330-343","C42W28Y185","28. Jan 2005","null","13.2 Years"
"1519893958-5017","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIZF","Airbus A320-214","CY168","28. Apr 2010","null","7.9 Years"
"1519893953-4885","https://www.planespotters.net/airline/Lufthansa?p=4","D-AISF","Airbus A321-231","CY205","30. Jun 2000","null","17.7 Years"
"1519893956-4980","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDW","Airbus A321-231","CY205","13. Jan 2015","null","3.2 Years"
"1519893951-4882","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIMM","Airbus A380-841","F8C78W52Y371","11. Mar 2015","null","3.4 Years"
"1519893953-4926","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIFF","Airbus A340-313","F8C48Y165","21. Dec 2001","null","16.2 Years"
"1519893953-4911","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIKI","Airbus A330-343","F8C48Y165","09. Sep 2005","null","12.7 Years"
"1519893956-4975","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDP","Airbus A321-231","CY205","28. Feb 2012","null","6.0 Years"
"1519893948-4815","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYC","Boeing 747-830","F8C80W32Y244","30. Jun 2012","null","5.7 Years"
"1519893958-5011","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIWB","Airbus A320-214(WL)","CY180","24. May 2017","null","0.8 Years"
"1519893948-4816","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYD","Boeing 747-830","F8C80W32Y244","24. Aug 2012","null","5.6 Years"
"1519893951-4855","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIHV","Airbus A340-642","F8C44W32Y213","28. Mar 2008","null","10.0 Years"
"1519893958-5026","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIZW","Airbus A320-214(WL)","CY168","10. Jul 2013","null","4.7 Years"
"1519893956-4961","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDB","Airbus A321-231","CY205","21. Dec 2010","null","7.2 Years"
"1519893953-4904","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIKB","Airbus A330-343","C42W28Y185","19. Mar 2004","null","14.1 Years"
